index,file_name,category,question,answer,predicted,raw_response,correct,refused,n_examples
128,016823.jpg,"Teeth,SumRec",Which tooth requires endodontic evaluation?,D,A,A,False,False,0
489,019277.jpg,"Teeth,Patho",Which tooth shows evidence of a periapical cyst?,D,C,C,False,False,0
202,016973.jpg,"Teeth,Patho",Which tooth has a periapical abscess?,C,C,C,True,False,0
331,017375.jpg,Jaw,Where is bone loss observed in the jaw?,A,C,C,False,False,0
444,018278.jpg,"Teeth,Patho",Which tooth shows evidence of a periapical granuloma?,A,A,A,True,False,0
446,018278.jpg,HisT,What historical intervention is noted in the report?,D,D,D,True,False,0
287,017215.jpg,Teeth,Which of the following wisdom teeth is impacted?,B,B,B,True,False,0
167,016910.jpg,Jaw,What is the condition of the bone architecture in the lower jaw?,D,D,D,True,False,0
456,018328.jpg,Jaw,In which jaw is suspicious bone loss observed?,D,C,C,False,False,0
448,018325.jpg,"Teeth,HisT",Which tooth suggests the presence of a filling?,A,A,A,True,False,0
433,018276.jpg,"Teeth,HisT",Which tooth has both root canal treatment and a filling?,C,C,C,True,False,0
127,016823.jpg,"Teeth,HisT",How many teeth are observed with crowns?,C,C,C,True,False,0
174,016918.jpg,Jaw,What is observed in the bilateral mandibular canals?,C,C,C,True,False,0
166,016910.jpg,"HisT,Jaw",What structures are visible in the imaging?,D,B,B,False,False,0
89,016744.jpg,Jaw,In which jaw is there evidence of bone loss?,A,A,A,True,False,0
248,017118.jpg,Teeth,Which of the following is true about the wisdom teeth 38 and 48?,B,C,C,False,False,0
123,016821.jpg,"Teeth,HisT",How many teeth have signs of crowns?,C,C,C,True,False,0
296,017239.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jawbone?,D,D,D,True,False,0
125,016821.jpg,Jaw,Which jaw shows signs of bone loss?,B,D,D,False,False,0
187,016955.jpg,"Teeth,Patho",What is the suspected finding at tooth 45?,B,C,C,False,False,0
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,C,C,False,False,0
438,018277.jpg,"Teeth,HisT",Which teeth are observed to have crowns?,B,B,B,True,False,0
80,016723.jpg,Jaw,What is noted regarding the bone architecture?,C,C,C,True,False,0
328,017360.jpg,Jaw,How are the maxillary sinuses described in the radiograph?,B,B,B,True,False,0
486,019277.jpg,Teeth,Which wisdom tooth is impacted?,A,A,A,True,False,0
205,016975.jpg,"Teeth,HisT",How many teeth have signs of fillings?,D,C,C,False,False,0
412,018189.jpg,Teeth,Which wisdom teeth are impacted?,A,A,A,True,False,0
254,017137.jpg,"Teeth,Patho",Which tooth has a suspected periapical granuloma?,B,A,A,False,False,0
181,016947.jpg,"Teeth,Patho",How many erupted wisdom teeth are suspected in the radiograph?,A,A,A,True,False,0
330,017375.jpg,"Teeth,Patho",What pathological finding is noted at tooth 36?,B,B,B,True,False,0
390,018105.jpg,Teeth,How many vertically erupted wisdom teeth are present according to the report?,B,D,D,False,False,0
120,016808.jpg,"Teeth,SumRec",What is the priority concern for tooth 38?,A,B,B,False,False,0
163,016874.jpg,"Teeth,HisT",Which tooth has undergone root canal treatment?,A,A,A,True,False,0
360,017773.jpg,Jaw,Is there any apparent bone loss in the jaw?,D,B,B,False,False,0
105,016790.jpg,"Teeth,Patho",Which tooth has a sign of caries?,C,B,B,False,False,0
469,018466.jpg,"Patho,Jaw",Which of the following is NOT a finding in the bone architecture?,A,B,B,False,False,0
151,016839.jpg,"Teeth,HisT",Which of the following tooth site presents an implant?,B,D,D,False,False,0
322,017346.jpg,Jaw,Is there any apparent bone loss observed?,A,C,C,False,False,0
