image,n_boxes,truth,pred,exact_set,n_truth,n_pred,count_ok,hit,miss,extra
016640.jpg,30,18|28|38|48,18|48,False,4,2,False,2,2,0
016648.jpg,32,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
016649.jpg,26,18|28|38,,False,3,0,False,0,3,0
016650.jpg,30,18|28|38|48,18|28|48,False,4,3,False,3,1,0
016657.jpg,32,18|28|38|48,28|38,False,4,2,False,2,2,0
016659.jpg,31,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
016690.jpg,31,18|28|38|48,18|48,False,4,2,False,2,2,0
016693.jpg,33,18|28|38|48,18|28|38,False,4,3,False,3,1,0
016712.jpg,30,28|38,28|38,True,2,2,True,2,0,0
016713.jpg,31,18|28|38|48,28|38,False,4,2,False,2,2,0
016723.jpg,29,28,28,True,1,1,True,1,0,0
016726.jpg,31,18|28|48,18|48,False,3,2,False,2,1,0
016744.jpg,29,38|48,38|48,True,2,2,True,2,0,0
016769.jpg,28,18,28|38,False,1,2,False,0,1,2
016790.jpg,31,18|28|38,18|28|48,False,3,3,True,2,1,1
016807.jpg,29,38,38,True,1,1,True,1,0,0
016821.jpg,26,18|28,18,False,2,1,False,1,1,0
016823.jpg,26,,18|38|48,False,0,3,False,0,0,3
016826.jpg,30,18|38|48,18|38|48,True,3,3,True,3,0,0
016839.jpg,24,18|28|38|48,18,False,4,1,False,1,3,0
016874.jpg,30,18|28|38|48,18|28,False,4,2,False,2,2,0
016918.jpg,30,18|28|38|48,18|38|48,False,4,3,False,3,1,0
016920.jpg,31,18|38|48,18|48,False,3,2,False,2,1,0
016947.jpg,31,18|28|48,18|48,False,3,2,False,2,1,0
016961.jpg,32,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
017018.jpg,31,18|38|48,18|38|48,True,3,3,True,3,0,0
017022.jpg,32,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
017061.jpg,32,28,18|28|38|48,False,1,4,False,1,0,3
017112.jpg,31,18|28|38|48,28|38|48,False,4,3,False,3,1,0
017118.jpg,29,38|48,38,False,2,1,False,1,1,0
017144.jpg,9,38|48,,False,2,0,False,0,2,0
017148.jpg,29,18|38,38,False,2,1,False,1,1,0
017215.jpg,32,18|28|38|48,28|38,False,4,2,False,2,2,0
017239.jpg,28,18|28,18|28|38,False,2,3,False,2,0,1
017300.jpg,31,18|28|38|48,18,False,4,1,False,1,3,0
017309.jpg,31,18|28|38|48,28|38,False,4,2,False,2,2,0
017346.jpg,31,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
017656.jpg,30,28|48,18|48,False,2,2,True,1,1,1
017690.jpg,27,18|28,28|38,False,2,2,True,1,1,1
017693.jpg,31,18|28|38,18|28|38|48,False,3,4,False,3,0,1
017773.jpg,32,18|28|38|48,28|38,False,4,2,False,2,2,0
017936.jpg,32,18|28|38|48,18|28|48,False,4,3,False,3,1,0
018010.jpg,29,18|28|48,18|48,False,3,2,False,2,1,0
018047.jpg,32,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
018105.jpg,32,18|28|38|48,18|28|48,False,4,3,False,3,1,0
018174.jpg,31,18|28,18|48,False,2,2,True,1,1,1
018211.jpg,32,18|28|38|48,18|28|48,False,4,3,False,3,1,0
018254.jpg,32,18|28|38|48,18|28|48,False,4,3,False,3,1,0
018276.jpg,32,18|28|38|48,18,False,4,1,False,1,3,0
018278.jpg,32,18|28,18|28|38,False,2,3,False,2,0,1
018325.jpg,32,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
018328.jpg,29,18|38|48,18|38|48,True,3,3,True,3,0,0
018377.jpg,29,28|38,28|38,True,2,2,True,2,0,0
018384.jpg,30,18|38,18|48,False,2,2,True,1,1,1
018477.jpg,32,18|28|38|48,18|28|38|48,True,4,4,True,4,0,0
018494.jpg,32,18|28|38|48,28|38,False,4,2,False,2,2,0
018539.jpg,32,18|28|38|48,18|48,False,4,2,False,2,2,0
