index,score
2,0.7
1,0.3
6,0.3
5,0.7
7,0.1
3,0.0
0,0.9
8,0.7
10,0.3
11,0.8
14,0.3
13,0.9
4,0.9
16,0.3
15,0.3
18,0.0
12,0.3
9,0.2
17,0.1
20,0.9
22,0.1
24,0.0
23,0.0
25,0.3
21,0.0
19,0.2
27,0.3
31,0.3
28,0.6
29,0.8
30,0.6
26,0.6
32,0.7
33,0.8
34,0.7
37,0.9
35,0.3
38,0.9
36,0.7
39,0.3
40,0.8
41,0.3
47,0.6
43,0.8
44,0.0
45,0.2
48,0.3
42,0.1
49,0.6
51,0.9
50,0.7
52,0.6
46,0.3
53,0.7
54,0.1
55,0.9
56,0.7
59,0.6
60,0.0
62,0.9
61,0.8
57,0.7
63,0.3
58,0.6
65,0.3
68,0.0
67,0.4
69,0.7
70,0.3
66,0.1
71,0.0
72,0.3
64,0.3
74,0.0
73,0.3
77,0.3
78,0.3
76,0.6
79,0.2
80,0.9
75,0.2
81,0.3
84,0.9
86,0.9
87,0.9
82,0.8
83,0.3
85,0.9
88,0.7
89,0.3
93,0.8
90,0.1
95,0.2
92,0.9
94,0.3
96,0.9
100,0.3
98,0.3
101,0.3
102,0.0
99,0.3
97,0.3
105,0.9
103,0.9
108,0.7
106,0.7
104,0.3
109,0.3
107,0.3
110,0.0
111,0.8
114,0.2
115,0.7
112,0.3
116,0.9
113,0.3
117,0.3
118,0.5
120,0.1
119,0.6
121,0.9
122,0.9
123,0.1
124,0.3
126,0.9
127,0.3
125,0.7
128,0.2
91,0.9
130,0.3
129,0.3
132,0.9
131,0.7
134,0.8
135,0.7
138,0.6
136,0.9
139,0.3
137,0.7
133,0.3
140,0.6
141,0.0
142,0.3
144,0.9
143,0.3
147,0.9
146,0.8
148,0.7
145,0.8
150,0.0
149,0.6
151,0.7
152,0.0
154,0.3
153,0.3
156,0.7
155,0.6
157,0.8
158,0.9
160,0.8
162,0.1
163,0.7
159,0.9
165,0.7
164,0.4
161,0.7
166,0.8
169,0.9
167,0.3
168,0.1
170,0.0
171,0.3
175,0.9
176,0.3
172,0.9
173,0.7
174,0.0
177,0.3
179,0.1
178,0.6
180,0.3
183,0.9
185,0.3
187,0.9
182,0.3
184,0.6
186,0.7
188,0.2
190,0.0
189,0.3
191,0.6
192,0.3
193,0.7
194,0.6
195,0.3
181,0.7
196,0.2
197,0.6
198,0.7
199,0.3
201,0.7
202,0.7
200,0.3
203,0.3
205,0.0
204,0.1
207,0.7
210,0.9
209,0.9
213,0.3
206,0.3
214,0.9
211,0.7
208,0.3
212,0.7
215,0.7
216,0.9
217,0.7
220,0.7
219,0.7
221,0.7
222,0.3
224,0.4
223,0.6
218,0.0
226,0.7
225,0.9
228,0.3
230,0.1
231,0.2
232,0.7
227,0.7
233,0.6
234,0.9
236,0.3
235,0.9
237,0.3
240,0.9
239,0.8
241,0.3
243,0.9
242,0.2
244,0.9
245,0.7
246,0.7
229,0.1
247,0.6
238,0.2
248,0.7
249,0.9
250,0.3
