index,image,mode,detector_pred,key,detector_ok,gemini_ok
11,016642.jpg,codes,B,B,True,True
35,016655.jpg,,,B,False,False
39,016657.jpg,codes,B,B,True,True
53,016693.jpg,codes,B,D,False,True
74,016713.jpg,codes,A,A,True,True
82,016726.jpg,codes,D,D,True,True
126,016823.jpg,codes,A,A,True,True
138,016826.jpg,codes,A,A,True,True
158,016855.jpg,codes,A,A,True,True
189,016955.jpg,codes,A,A,True,True
206,016975.jpg,codes,D,D,True,True
223,017061.jpg,codes,A,C,False,True
287,017215.jpg,codes,B,B,True,True
348,017656.jpg,codes,A,D,False,True
376,017936.jpg,codes,C,C,True,True
412,018189.jpg,codes,A,A,True,True
422,018254.jpg,codes,D,D,True,True
440,018277.jpg,codes,A,C,False,False
441,018277.jpg,count,A,C,False,True
486,019277.jpg,codes,A,A,True,True
