image,index,task_type,question,A,B,C,D,keyed_answer,keyed_text,reference,risk_rank,survey,item_id
016825,131,closed,In which jaw are missing teeth regions detected?,Upper jaw,Lower jaw,Both jaws,No missing teeth,C,Both jaws,,0,1,q0001
016825,132,closed,Which wisdom tooth is erupted according to the report?,#18,#38,#28,#48,C,#28,,0,1,q0002
016825,133,closed,Which tooth exhibits a periapical granuloma?,#45,#27,#37,#47,A,#45,,0,1,q0003
016825,135,closed,Which tooth is suspected to have deep caries?,#27,#25,#37,#18 and #28,C,#37,,0,1,q0004
016825,156,open,What restorations and pathologies are noted for tooth #45?,,,,,,,Tooth #45 has a crown restoration.,0,1,q0005
016825,158,open,Which tooth has a periapical lesion?,,,,,,,Tooth #45 has a periapical lesion (likely abscess).,0,1,q0006
016825,159,open,What structures are visible in the jaw and sinus?,,,,,,,Bilateral mandibular canals and maxillary sinus are visible.,0,1,q0007
016825,160,open,Please detect the mandibular canal in the panoramic image.,,,,,,,Findings: mandibular canal.,0,1,q0008
016790,101,closed,Which tooth has both a crown restoration and root canal treatment?,#14,#16,#24,#36,D,#36,,1,1,q0009
016790,102,closed,Which of the following is a tooth with suspicious caries?,#34,#44,#17,#25,B,#44,,1,1,q0010
016790,103,closed,Which tooth does have a filling?,#14,#24,#36,#25,C,#36,,1,1,q0011
016790,104,closed,Which tooth is erupted among the wisdom teeth?,#18,#28,#38,#48,C,#38,,1,1,q0012
016790,105,closed,Which tooth has a sign of caries?,#14,#24,#34,None,C,#34,,1,1,q0013
016790,120,open,Which teeth are suspected of having caries and require clinical re-evaluation?,,,,,,,#25.,1,1,q0014
016790,121,open,Describe the findings for tooth #46.,,,,,,,"Sign of periapical granuloma, crown restoration, and root canal treatment.",1,1,q0015
016790,122,open,List the impacted wisdom teeth and their statuses.,,,,,,,#18: Impacted; #28: Impacted; #38: Impacted.,1,1,q0016
016790,123,open,What is observed regarding the bone architecture?,,,,,,,No apparent bone loss in the image.,1,1,q0017
016790,124,open,What are the most significant radiographic anomalies present in this panoramic radiograph?,,,,,,,Tooth #45: deep caries. Tooth #18: impacted. Tooth #38: impacted. Tooth #28: impacted.,1,1,q0018
016807,111,closed,Is there apparent bone loss in the jaw?,Yes,No,Unclear,Partial,D,Partial,,2,1,q0019
016807,112,closed,Which tooth site has a dental implant present?,#24,#25,#26,#36,B,#25,,2,1,q0020
016807,113,closed,Which tooth is suspected to have caries?,#13,#14,#15,None,A,#13,,2,1,q0021
016807,114,closed,Which tooth shows signs of a periapical granuloma?,#23,#24,#25,None,A,#23,,2,1,q0022
016807,115,closed,Which tooth has both a crown and root canal treatment?,#16,#24 and #36,#36,#46,A,#16,,2,1,q0023
016807,132,open,What historical interventions are noted for tooth #25?,,,,,,,"Tooth #25 has a crown, root canal treatment, and a post.",2,1,q0024
016807,133,open,What is the status of the wisdom tooth?,,,,,,,Wisdom tooth #38 is erupted but requires clinical review.,2,1,q0025
016807,134,open,What is the general condition of the teeth?,,,,,,,29 teeth are visualized with clear anatomical definition.,2,1,q0026
016807,135,open,What visible structures are observed in the jaw?,,,,,,,Bilateral mandibular canals and maxillary sinuses.,2,1,q0027
016807,136,open,Does the panoramic radiograph reveal any specific tooth involvement trends related to crown?,,,,,,,"Tooth #24, #36, #26, #25, #16, #15, #46, #47.",2,1,q0028
017693,355,closed,Which tooth shows signs of a crown restoration?,#26,#27,#28,#37,D,#37,,3,1,q0029
017693,356,closed,Which of the following teeth has signs of a periapical granuloma?,#26,#27,#28,#37,C,#28,,3,1,q0030
017693,357,closed,How many wisdom teeth are detected in the panoramic radiograph?,1,2,3,4,A,1,,3,1,q0031
017693,358,closed,Which of the following teeth has a filling?,#27,#37,#46,Both B and C,B,#37,,3,1,q0032
017693,420,open,What pathological findings are present in the radiograph?,,,,,,,Imaging features sign of periapical granuloma at #27.,3,1,q0033
017693,421,open,What is the general condition of the teeth and how many wisdom teeth are erupted?,,,,,,,"31 teeth are visualized with clear anatomical definition. Three wisdom teeth (18, #28, #38) are erupted.",3,1,q0034
017693,422,open,What historical interventions are noted in the radiograph?,,,,,,,"Signs of fillings at #37 and #46, and a crown restoration at #27.",3,1,q0035
017693,423,open,What is the condition of the bone architecture in the jaw?,,,,,,,No apparent bone loss is observed.,3,1,q0036
017693,424,open,What is the overall structural integrity of tooth #46 as seen on the panoramic radiograph?,,,,,,,Findings: filling.,3,1,q0037
016964,195,closed,Which wisdom tooth is likely erupted?,#18,#28,#38,"#28, #38, #48",D,"#28, #38, #48",,4,1,q0038
016964,196,closed,How many teeth are visualized in the panoramic radiograph?,25,30,32,35,B,30,,4,1,q0039
016964,197,closed,Which tooth has undergone root canal treatment?,#11,#12,#13,#14,A,#11,,4,1,q0040
016964,198,closed,Which tooth shows signs of a periapical abscess?,#35,#37,#46,#47,A,#35,,4,1,q0041
016964,199,closed,Which tooth has a filling?,#42,#43,#44,None,C,#44,,4,1,q0042
016964,228,open,What is the clinical recommendation for the periapical abscess at #47?,,,,,,,Extraction of residual roots.,4,1,q0043
016964,229,open,What historical interventions are noted in the radiograph?,,,,,,,Root canal treatment at #12.,4,1,q0044
016964,230,open,What is the general condition of the teeth in the radiograph?,,,,,,,30 teeth are visualized with clear anatomical definition.,4,1,q0045
016964,231,open,Which teeth show signs of caries?,,,,,,,"#35, #28, #37, #47.",4,1,q0046
016964,232,open,Please accurately identify the mandibular canal in the X-ray image.,,,,,,,Findings: mandibular canal.,4,1,q0047
017148,260,closed,Which tooth shows signs of a periapical abscess?,#35,#36,#37,#38,A,#35,,5,1,q0048
017148,261,closed,Which tooth has signs of a crown and implant restoration?,#17,#25,#35,#45,C,#35,,5,1,q0049
017148,262,closed,Which of the following is NOT a visible structure in the jaw?,Bilateral mandibular canals,Maxillary sinus,Nasal cavity,All,C,Nasal cavity,,5,1,q0050
017148,263,closed,Which tooth has signs of a crown and root canal treatment?,#26,#35,#25 and #35,#17,B,#35,,5,1,q0051
017148,306,open,"What is the general condition of the teeth, and how many wisdom teeth are detected?",,,,,,,"30 teeth are visualized with clear anatomical definition. Three wisdom teeth are detected: #18 is erupted (suspected, recommend clinical review), and #38 is impacted (suspected, recommend clinical review).",5,1,q0052
017148,307,open,What are the priority concerns for immediate attention?,,,,,,,Periapical abscess at #37 requires immediate endodontic evaluation and treatment. Suspected caries at #36 need prompt intervention and monitoring.,5,1,q0053
017148,308,open,What pathological findings are present in the teeth?,,,,,,,"#36 has suspected caries, and #37 shows imaging features sign of a periapical abscess.",5,1,q0054
017148,309,open,What visible structures are observed in the jaw?,,,,,,,Imaging features signs of bilateral mandibular canals and bilateral maxillary sinuses.,5,1,q0055
017148,310,open,Does the panoramic radiograph reveal any specific tooth involvement trends related to root canal treatment?,,,,,,,"Tooth #35, #37, #25.",5,1,q0056
017220,290,closed,Which tooth is indicated with a periapical abscess?,#41,#42,#43,#44,B,#42,,6,1,q0057
017220,291,closed,Which tooth has an implant?,#36,#37,#38,#39,A,#36,,6,1,q0058
017220,292,closed,How many wisdom teeth are detected?,1,2,3,4,D,4,,6,1,q0059
017220,293,closed,Which tooth is suspected to have an erupted wisdom tooth?,#18,#21,#38,#48,B,#21,,6,1,q0060
017220,342,open,What historical interventions are noted for tooth #11?,,,,,,,Tooth #11 has a crown and root canal treatment.,6,1,q0061
017220,343,open,What preventive measures are recommended?,,,,,,,Monitor suspicious caries with radiographic follow-up and emphasize oral hygiene practices.,6,1,q0062
017220,344,open,Which teeth are suspicious for caries?,,,,,,,#46 is suspicious for caries.,6,1,q0063
017220,345,open,What is the general condition of the teeth?,,,,,,,"29 (including restored teeth; otherwise, 25 natural teeth) teeth are visualized with clear anatomical definition.",6,1,q0064
016713,73,closed,Which tooth shows signs of a periapical granuloma?,#17,#27,#37,None,A,#17,,7,1,q0065
