image,n_impact_boxes,truth,pred,n_truth,n_pred,count_ok,exact_set,hit,miss,extra
016640.jpg,9,15|38,17|18|26|27|35|36|37|47|48,2,9,False,False,0,2,9
016642.jpg,5,18|28,17|26|35|36|47,2,5,False,False,0,2,5
016648.jpg,0,18,,1,0,False,False,0,1,0
016649.jpg,3,35|38,36|37|45,2,3,False,False,0,2,3
016650.jpg,6,18|28|38|45|46|48,16|25|26|36|37|47,6,6,True,False,0,6,6
016652.jpg,5,15|23|46,16|35|37|46|47,3,5,False,False,1,2,4
016659.jpg,8,46,16|18|36|37|38|45|46|47,1,8,False,False,1,0,7
016693.jpg,3,47,13|36|48,1,3,False,False,0,1,3
016694.jpg,2,45,13|43,1,2,False,False,0,1,2
016713.jpg,5,17|27,17|18|36|46|47,2,5,False,False,1,1,4
016726.jpg,8,36|45|46|47,12|16|22|26|38|44|45|46,4,8,False,False,2,2,6
016790.jpg,9,25,16|25|26|34|35|36|45|46|47,1,9,False,False,1,0,8
016792.jpg,5,37,17|18|26|36|47,1,5,False,False,0,1,5
016821.jpg,5,27|28,17|18|21|27|34,2,5,False,False,1,1,4
016826.jpg,8,25|35,12|15|25|26|34|35|36|37,2,8,False,False,2,0,6
016836.jpg,8,27|46,16|17|26|27|36|37|44|47,2,8,False,False,1,1,7
016839.jpg,6,35|47,15|27|36|38|46|47,2,6,False,False,1,1,5
016874.jpg,7,27,17|18|26|28|37|46|48,1,7,False,False,0,1,7
016910.jpg,4,24,13|15|16|24,1,4,False,False,1,0,3
016918.jpg,5,26|37|47,16|25|35|36|45,3,5,False,False,0,3,5
016964.jpg,5,15|22|28|35|37|47,22|26|35|36|38,6,5,False,False,2,4,3
016973.jpg,0,37,,1,0,False,False,0,1,0
016975.jpg,6,15,14|15|26|33|36|46,1,6,False,False,1,0,5
017018.jpg,7,16|36,16|26|27|35|37|42|47,2,7,False,False,1,1,6
017022.jpg,4,35|48,35|36|37|45,2,4,False,False,1,1,3
017083.jpg,4,16|33|34|47,27|35|36|47,4,4,True,False,1,3,3
017091.jpg,5,18|28|38,16|27|35|47|48,3,5,False,False,0,3,5
017112.jpg,4,14,15|25|33|36,1,4,False,False,0,1,4
017137.jpg,2,38,37|47,1,2,False,False,0,1,2
017144.jpg,2,36|37,24|37,2,2,True,False,1,1,1
017148.jpg,7,36|37,16|18|26|27|34|36|46,2,7,False,False,1,1,6
017209.jpg,2,46,46|47,1,2,False,False,1,0,1
017220.jpg,5,46,17|34|35|44|47,1,5,False,False,0,1,5
017271.jpg,5,38|46,15|34|36|47|48,2,5,False,False,0,2,5
017309.jpg,4,36,16|37|44|46,1,4,False,False,0,1,4
017336.jpg,0,17,,1,0,False,False,0,1,0
017360.jpg,7,36,16|18|26|28|37|38|48,1,7,False,False,0,1,7
017656.jpg,4,46|48,28|35|45|46,2,4,False,False,1,1,3
017773.jpg,5,47,14|15|27|44|46,1,5,False,False,0,1,5
017840.jpg,3,36,16|45|46,1,3,False,False,0,1,3
017880.jpg,7,18|28,16|17|18|36|37|38|48,2,7,False,False,1,1,6
017936.jpg,8,27|37|47,16|17|26|27|28|33|35|47,3,8,False,False,2,1,6
018010.jpg,1,47|48,18,2,1,False,False,0,2,1
018047.jpg,8,26|36,16|17|26|27|28|36|46|48,2,8,False,False,2,0,6
018105.jpg,1,47|48,47,2,1,False,False,1,1,0
018179.jpg,3,36|47,37|38|47,2,3,False,False,1,1,2
018231.jpg,5,18,28|36|38|47|48,1,5,False,False,0,1,5
018254.jpg,3,37,35|36|47,1,3,False,False,0,1,3
018276.jpg,7,13|46,27|33|35|37|46|47|48,2,7,False,False,1,1,6
018278.jpg,6,37|47,16|26|35|36|37|46,2,6,False,False,1,1,5
018325.jpg,13,25|46,11|14|15|16|21|22|24|26|36|44|45|47,2,12,False,False,0,2,12
018377.jpg,5,37,16|35|43|45|47,1,5,False,False,0,1,5
018384.jpg,10,18|26|47,17|18|26|27|35|37|38|45|46|47,3,10,False,False,3,0,7
018477.jpg,3,27|44|46|47,26|27|44,4,3,False,False,2,2,1
