index,question,gt,answer
9,Which historical treatments can be detected in the panoramic image?,"[
{""box_2d"": [1531, 698, 1649, 769], ""tooth_id"": ""36"", ""label"": ""Crown""},
{""box_2d"": [1619, 755, 1676, 846], ""tooth_id"": ""36"", ""label"": ""Root canal treatment""},
{""box_2d"": [1771, 628, 1801, 657], ""tooth_id"": ""38"", ""label"": ""Filling""}
]","Based on the panoramic radiograph (orthopantomogram), the following historical dental treatments and findings can be detected:

1. **Endodontic Treatment (Root Canal Therapy):**
   *"
15,Output the positions of wisdom tooth in the panoramic X-ray image.,"[
{""box_2d"": [1741, 569, 1871, 768], ""tooth_id"": ""38"", ""is_impacted"": “false""},
{""box_2d"": [514, 577, 716, 754], ""tooth_id"": ""48"", ""is_impacted"": ""true""},
{""box_2d"": [673, 311, 819, 517], ""tooth_id"": ""18"", ""is_impacted"": ""false""},
{""box_2d"": [1663, 334, 1769, 530], ""tooth_id"": ""28"", ""is_impacted"": ""false""}
]","...]` there is a molar. Let's look at the crown: it's at `[310, 280, 400, 330"
33,Identify the mandibular canal in the X-ray image.,"[
{""box_2d"": [1524, 423, 2129, 1050], ""label"": ""Mandibular canal""},
{""box_2d"": [329, 391, 740, 979], ""label"": ""Mandibular canal""}
]","Based on the provided panoramic dental X-ray (orthopantomogram), here is a detailed guide to identifying the **mandibular canal** (also known as the inferior alveolar canal):

### 1"
39,What is the overall structural integrity of tooth #38 as seen on the panoramic radiograph?,"[
{""Teeth position"": {""point_2d"": [1814, 729]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": “false""}
]","Based on the panoramic radiograph, **tooth #38** (the mandibular left third molar, located on the far right of the image in the lower jaw) shows the following characteristics regarding its structural"
45,Please provide a full description of the condition of tooth #18.,"[
{""Teeth position"": {""point_2d"": [618, 426]}},
{""is_wisdom_tooth"": ""True""},
{""is_impacted"": “False""}
]","Based on the provided panoramic radiograph (OPG), here is a detailed description of the condition of **tooth #18** (the mandibular left second molar, located on the lower right side of the"
75,Identify the historical treatments in the X-ray image.,"[
{""box_2d"": [1006, 705, 1088, 807], ""tooth_id"": ""44"", ""label"": ""Crown""},
{""box_2d"": [1029, 806, 1044, 875], ""tooth_id"": ""44"", ""label"": ""Root canal treatment""},
{""box_2d"": [796, 693, 934, 775], ""tooth_id"": ""46"", ""label"": ""Crown""},
{""box_2d"": [1558, 709, 1679, 791], ""tooth_id"": ""36"", ""label"": ""Crown""},
{""box_2d"": [1652, 786, 1688, 849], ""tooth_id"": ""36"", ""label"": ""Root canal treatment""},
{""box_2d"": [1415, 712, 1491, 812], ""tooth_id"": ""34"", ""label"": ""Crown""},
{""box_2d"": [1481, 710, 1565, 829], ""tooth_id"": ""35"", ""label"": ""Crown""},
{""box_2d"": [1538, 833, 1551, 869], ""tooth_id"": ""35"", ""label"": ""Root canal treatment""},
{""box_2d"": [1595, 568, 1734, 671], ""tooth_id"": ""26"", ""label"": ""Crown""},
{""box_2d"": [1661, 495, 1676, 571], ""tooth_id"": ""26"", ""label"": ""Root canal treatment""},
{""box_2d"": [1210, 712, 1262, 805], ""tooth_id"": ""41"", ""label"": ""Crown""},
{""box_2d"": [1084, 714, 1157, 803], ""tooth_id"": ""43"", ""label"": ""Crown""},
{""box_2d"": [1107, 805, 1121, 895], ""tooth_id"": ""43"", ""label"": ""Root canal treatment""},
{""box_2d"": [1532, 584, 1618, 671], ""tooth_id"": ""25"", ""label"": ""Crown""},
{""box_2d"": [1563, 455, 1600, 588], ""tooth_id"": ""25"", ""label"": ""Root canal treatment""},
{""box_2d"": [927, 522, 941, 583], ""tooth_id"": ""15"", ""label"": ""Root canal treatment""},
{""box_2d"": [719, 583, 798, 676], ""tooth_id"": ""17"", ""label"": ""Crown""},
{""box_2d"": [692, 483, 727, 585], ""tooth_id"": ""17"", ""label"": ""Root canal treatment""},
{""box_2d"": [1356, 716, 1425, 826], ""tooth_id"": ""33"", ""label"": ""Crown""},
{""box_2d"": [1392, 828, 1407, 907], ""tooth_id"": ""33"", ""label"": ""Root canal treatment""},
{""box_2d"": [1455, 586, 1549, 674], ""tooth_id"": ""24"", ""label"": ""Crown""},
{""box_2d"": [793, 556, 910, 665], ""tooth_id"": ""16"", ""label"": ""Crown""},
{""box_2d"": [1666, 683, 1794, 760], ""tooth_id"": ""37"", ""label"": ""Crown""},
{""box_2d"": [1753, 744, 1840, 817], ""tooth_id"": ""37"", ""label"": ""Root canal treatment""},
{""box_2d"": [1056, 418, 1105, 568], ""tooth_id"": ""13"", ""label"": ""Implant""},
{""box_2d"": [1303, 716, 1358, 827], ""tooth_id"": ""31"", ""label"": ""Crown""},
{""box_2d"": [1149, 715, 1212, 806], ""tooth_id"": ""42"", ""label"": ""Crown""},
{""box_2d"": [1718, 571, 1845, 645], ""tooth_id"": ""27"", ""label"": ""Crown""},
{""box_2d"": [1766, 474, 1784, 571], ""tooth_id"": ""27"", ""label"": ""Root canal treatment""}
]","Based on the panoramic radiograph (orthopantomogram), several historical dental treatments can be identified across both the upper (maxillary) and lower (mandibular) arches:

### 1."
93,Identify areas showing the maxillary sinus in the panoramic radiograph.,"[
{""box_2d"": [1372, 33, 1806, 421], ""label"": ""Maxillary sinus""},
{""box_2d"": [657, 42, 1013, 401], ""label"": ""Maxillary sinus""}
]","Based on the provided panoramic radiograph (orthopantomogram), the **maxillary sinuses** (right and left) can be identified as follows:

### 1. Location and Appearance
The maxillary sinuses are large, bilateral, air-filled cavities located in the maxilla (upper jaw). On a radiograph, they appear as **large, dark (radiolucent) areas** because air does not absorb X-rays. They are outlined by a thin, sharp, white (radiopaque) cortical bone line.

* **Right Maxillary Sinus (located on the left side of the image):** 
  * This is the large, dark cavity situated directly above the roots of the upper right premolars and molars. 
  * Its floor (the bottom boundary) is visible as a thin, curved white line running just superior to the root apices of these posterior teeth.

* **Left Maxillary Sinus (located on the right side of the image):** 
  * This is the corresponding large, dark cavity situated above the roots of the upper left premolars and molars.
  * Like the right side, its floor is demarcated by a"
136,Does the panoramic radiograph reveal any specific tooth involvement trends related to crown?,"[
{""tooth_id"": ""24"", ""box_2d"": [1469, 619, 1556, 688]},
{""tooth_id"": ""36"", ""box_2d"": [1522, 733, 1644, 810]},
{""tooth_id"": ""26"", ""box_2d"": [1600, 592, 1704, 673]},
{""tooth_id"": ""25"", ""box_2d"": [1552, 619, 1616, 688]},
{""tooth_id"": ""16"", ""box_2d"": [802, 613, 906, 673]},
{""tooth_id"": ""15"", ""box_2d"": [901, 620, 978, 690]},
{""tooth_id"": ""46"", ""box_2d"": [868, 746, 995, 806]},
{""tooth_id"": ""47"", ""box_2d"": [764, 714, 883, 778]}
]","Based on the provided panoramic radiograph, there is a clear trend of **posterior tooth involvement** (molars and premolars) requiring crown restorations, often associated with endodontic (root canal)"
148,Output the positions of mandibular canal in the panoramic X-ray image.,"[
{""box_2d"": [1561, 516, 2146, 1055], ""label"": ""Mandibular canal""},
{""box_2d"": [389, 465, 874, 1016], ""label"": ""Mandibular canal""}
]","Based on the panoramic X-ray image, the positions of the mandibular canals (inferior alveolar canals) on both sides of the jaw are located within the following coordinates:

* **Right Mandibular Canal (left side of the image):** `[5"
160,Please detect the mandibular canal in the panoramic image.,"[
{""box_2d"": [1577, 656, 2099, 1060], ""label"": ""Mandibular canal""},
{""box_2d"": [370, 691, 924, 1090], ""label"": ""Mandibular canal""}
]","` format.
    *   Right: `[450, 90, 750, 410]`
    *   Left: `[450"
