index,concreteness,disposition,reason,repaired_reference,reference_changed,in_reading_score,score_track
0,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
1,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
2,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
3,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
4,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: crown, root canal treatment.",True,True,reading
5,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
6,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
7,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
8,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #36.,True,True,reading
9,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #36: crown, root canal treatment. Tooth #38: filling.",True,True,reading
10,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
11,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
12,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
13,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
14,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
15,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
16,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
17,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
18,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
19,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
20,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
21,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: wisdom tooth, caries, deep caries, periapical lesions (granuloma).",True,True,reading
22,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
23,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
24,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
25,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
26,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
27,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
28,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
29,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
30,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
31,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
32,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
33,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: mandibular canal.,True,True,reading
34,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
35,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
36,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
37,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
38,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
39,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
40,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
