index,score
6,0.0
7,0.0
8,0.9
0,1.0
4,0.0
2,0.6
1,0.3
3,0.0
12,0.3
9,0.3
14,0.0
15,0.3
19,0.0
17,0.0
27,0.0
26,0.0
30,0.2
25,0.0
35,0.0
33,0.7
37,0.0
31,0.3
29,0.3
38,0.9
39,0.0
45,0.0
41,0.2
44,0.0
42,0.0
51,0.3
48,0.0
57,0.0
53,0.6
63,0.7
67,1.0
59,0.0
61,0.0
68,0.0
21,0.0
66,0.0
75,0.6
79,0.9
69,0.9
80,0.0
83,0.0
72,0.9
87,0.9
85,0.6
92,0.9
93,0.0
90,0.0
84,0.2
81,0.0
95,0.0
97,0.7
98,0.6
101,0.0
106,0.0
112,0.0
109,0.9
103,0.0
115,0.0
100,0.0
114,0.3
117,0.0
121,0.0
127,0.3
128,0.0
120,0.0
118,0.9
129,0.0
132,1.0
142,0.0
130,1.0
140,0.6
136,1.0
148,0.0
144,0.0
145,0.0
150,0.0
146,0.6
154,0.0
151,0.0
156,0.0
152,0.0
163,0.3
158,1.0
160,0.7
166,0.7
164,0.0
169,0.9
175,0.0
170,0.9
174,0.0
172,0.3
182,0.6
177,0.7
188,0.0
191,0.0
185,0.6
190,0.0
193,0.0
183,0.0
197,0.6
192,0.3
196,0.9
204,0.0
201,0.0
202,0.9
205,0.0
199,0.6
207,0.0
208,0.0
211,0.0
215,0.0
229,0.7
222,0.9
226,0.2
225,0.9
220,0.8
232,0.7
228,0.7
234,0.0
244,0.9
236,0.9
241,1.0
250,0.0
255,0.0
231,0.4
258,0.0
242,0.0
260,0.7
256,0.7
262,0.6
261,0.9
265,0.0
259,0.0
271,0.6
268,0.0
272,0.9
274,0.3
270,0.2
279,0.3
264,0.0
280,0.0
277,0.0
285,0.6
286,0.0
283,0.9
292,0.0
294,0.0
288,0.4
282,0.2
291,0.3
295,0.0
298,0.0
304,0.0
302,0.6
310,0.9
306,0.2
315,0.0
314,0.3
319,0.0
325,0.0
322,0.9
316,0.0
327,0.7
328,0.0
320,0.0
324,0.0
331,0.6
334,0.7
330,0.6
338,1.0
337,1.0
336,0.0
342,0.9
351,0.9
344,0.0
333,0.0
340,0.6
346,0.9
349,0.0
355,0.0
352,0.0
358,0.0
360,0.3
361,1.0
356,0.0
363,0.2
364,0.3
357,0.0
369,0.9
370,0.6
372,1.0
373,0.0
374,0.9
376,0.0
386,1.0
382,0.9
380,0.0
381,0.0
385,0.0
384,0.0
391,0.0
388,0.0
397,0.6
400,0.0
405,0.0
406,0.0
394,0.7
411,0.7
418,0.0
412,0.3
408,0.0
417,0.0
422,0.0
424,0.2
431,0.0
414,0.4
426,0.0
432,1.0
433,0.9
429,0.7
421,0.7
443,0.0
435,0.0
438,0.0
446,0.3
440,0.3
452,0.8
455,0.0
449,0.5
457,0.0
458,0.0
461,0.3
464,0.9
463,0.9
466,0.6
479,0.0
469,0.0
477,0.2
480,0.0
474,0.9
471,0.0
467,0.0
482,0.0
491,0.0
494,0.0
495,0.6
484,0.0
490,0.0
493,0.0
497,0.6
504,0.7
498,0.9
506,0.3
500,0.6
501,0.9
518,0.7
512,0.0
523,0.0
510,0.0
522,0.0
525,0.0
533,0.7
541,0.0
531,0.6
538,0.0
537,0.0
534,0.9
529,0.0
535,0.0
547,0.6
544,0.3
552,0.7
559,0.0
562,0.6
553,0.0
570,0.0
564,0.0
573,0.0
569,0.0
576,0.0
575,0.0
550,0.9
549,0.0
