index,file_name,category,question,answer,predicted,raw_response,correct,refused,n_examples
3,016640.jpg,"Teeth,HisT",Which of the following teeth has a crown and root canal treatment?,D,B,B,False,False,0
9,016642.jpg,Jaw,Is there any apparent bone loss in the image?,B,B,B,True,False,0
11,016642.jpg,Teeth,Which of the following wisdom teeth are impacted?,B,B,B,True,False,0
17,016648.jpg,"Teeth,Patho",Which tooth shows evidence of a periapical lesion?,D,B,B,False,False,0
18,016649.jpg,"Teeth,HisT",Which site has a dental implant placed?,D,D,D,True,False,0
19,016649.jpg,"Teeth,HisT",Which tooth has evidence of root canal treatment?,C,C,C,True,False,0
20,016649.jpg,"Teeth,Patho",Which tooth has a suspected deep caries?,D,B,B,False,False,0
23,016650.jpg,"Teeth,HisT",Which teeth have undergone root canal treatment?,A,A,A,True,False,0
24,016650.jpg,"Teeth,Patho",Which tooth shows signs of a periapical granuloma?,A,B,B,False,False,0
25,016650.jpg,Jaw,Does the imaging indicate any bone loss?,A,A,A,True,False,0
36,016655.jpg,Teeth,What is the condition of tooth 18?,C,C,C,True,False,0
37,016655.jpg,"Patho,Jaw",Which of the following is NOT a finding related to the maxillary sinuses?,A,D,D,False,False,0
39,016657.jpg,Teeth,Which wisdom tooth is impacted?,B,B,B,True,False,0
41,016657.jpg,HisT,What previous dental treatment has been done on tooth 24?,B,B,B,True,False,0
47,016690.jpg,Teeth,Which of the following is TRUE regarding the wisdom teeth in this patient?,A,D,D,False,False,0
48,016690.jpg,Jaw,What type of bone loss is detected in the upper jaw?,B,C,C,False,False,0
51,016690.jpg,Jaw,Which structure is well-defined bilaterally in the maxilla?,D,D,D,True,False,0
55,016693.jpg,"Teeth,Patho,SumRec",Which tooth requires monitoring for suspicious caries?,A,A,A,True,False,0
56,016693.jpg,"Teeth,Jaw",In which jaw is the missing tooth region detected?,C,C,C,True,False,0
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,D,D,True,False,0
60,016694.jpg,"Teeth,Patho",Which tooth has a periapical lesion?,C,B,B,False,False,0
61,016694.jpg,Jaw,Is there apparent bone loss in the jaw?,C,B,B,False,False,0
65,016708.jpg,"Patho,Jaw",Which of the following is a finding in the maxillary sinuses?,C,C,C,True,False,0
72,016713.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jaw-specific observations?,C,B,B,False,False,0
74,016713.jpg,Teeth,Which of the following wisdom teeth is suspicious for impaction?,A,A,A,True,False,0
78,016723.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,B,D,D,False,False,0
80,016723.jpg,Jaw,What is noted regarding the bone architecture?,C,C,C,True,False,0
85,016726.jpg,HisT,What type of dental restoration is found on tooth 25?,C,A,A,False,False,0
86,016726.jpg,HisT,Can you identify the dental treatment present on tooth 15?,C,D,D,False,False,0
93,016769.jpg,Teeth,Which of the following teeth is identified as a wisdom tooth?,B,B,B,True,False,0
94,016769.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,C,D,D,False,False,0
102,016790.jpg,"Teeth,Patho",Which of the following is a tooth with suspicious caries?,B,B,B,True,False,0
109,016792.jpg,"HisT,Jaw",Which of the following is a visible structure in the imaging?,D,D,D,True,False,0
110,016792.jpg,Jaw,"Can you identify the structure within the bounding box [1377, 36, 1784, 460]?",C,B,B,False,False,0
115,016807.jpg,"Teeth,HisT",Which tooth has both a crown and root canal treatment?,A,A,A,True,False,0
119,016808.jpg,Jaw,What is observed regarding the bone architecture?,B,D,D,False,False,0
120,016808.jpg,"Teeth,SumRec",What is the priority concern for tooth 38?,A,B,B,False,False,0
125,016821.jpg,Jaw,Which jaw shows signs of bone loss?,B,A,A,False,False,0
129,016823.jpg,"Patho,SumRec",What is recommended for interproximal caries detection?,B,B,B,True,False,0
132,016825.jpg,Teeth,Which wisdom tooth is erupted according to the report?,C,C,C,True,False,0
134,016825.jpg,Jaw,In which jaw is bone loss observed?,D,D,D,True,False,0
143,016829.jpg,"HisT,Jaw",Is there any apparent bone loss visible in the radiograph?,C,B,B,False,False,0
145,016829.jpg,"Teeth,Patho",Which tooth exhibits a periapical lesion?,C,B,B,False,False,0
147,016836.jpg,"HisT,Jaw",Which structure is visible bilaterally in the maxilla?,A,D,D,False,False,0
149,016836.jpg,Jaw,What is observed in the upper jaw bone architecture?,B,C,C,False,False,0
151,016839.jpg,"Teeth,HisT",Which of the following tooth site presents an implant?,B,B,B,True,False,0
154,016839.jpg,"Teeth,Patho",Which of the following teeth is suspected to have caries?,D,C,C,False,False,0
162,016874.jpg,"Teeth,Jaw",Which jaw has a missing tooth region detected?,A,D,D,False,False,0
164,016874.jpg,Jaw,What is observed in the upper jawbone?,D,D,D,True,False,0
166,016910.jpg,"HisT,Jaw",What structures are visible in the imaging?,D,B,B,False,False,0
171,016918.jpg,"Teeth,HisT",Which of the following teeth does NOT show signs of fillings?,B,D,D,False,False,0
178,016920.jpg,Teeth,Which of the following wisdom teeth is erupted?,C,A,A,False,False,0
184,016947.jpg,Jaw,Which jaw shows evidence of bone loss?,A,B,B,False,False,0
185,016955.jpg,"Teeth,Patho",What is the suspected finding at tooth 31?,D,C,C,False,False,0
187,016955.jpg,"Teeth,Patho",What is the suspected finding at tooth 45?,B,B,B,True,False,0
195,016964.jpg,Teeth,Which wisdom tooth is likely erupted?,D,C,C,False,False,0
199,016964.jpg,"Teeth,HisT",Which tooth has a filling?,C,C,C,True,False,0
200,016973.jpg,Jaw,Where is bone loss detected?,C,C,C,True,False,0
211,017018.jpg,"Teeth,Patho",Which tooth is suspected to have caries?,C,D,D,False,False,0
219,017022.jpg,HisT,Which of the following is true regarding historical interventions?,B,B,B,True,False,0
220,017061.jpg,Jaw,Which jaw shows imaging features suggestive of bone loss?,A,A,A,True,False,0
223,017061.jpg,Teeth,Which of the following is NOT an impacted wisdom tooth?,C,C,C,True,False,0
225,017083.jpg,"HisT,Jaw",Is there any apparent bone loss visible in the image?,D,C,C,False,False,0
226,017083.jpg,"Teeth,Patho",Which of the following teeth are suspicious for caries?,A,C,C,False,False,0
234,017091.jpg,Teeth,How many wisdom teeth are detected in the radiograph?,D,B,B,False,False,0
236,017112.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,D,D,D,True,False,0
240,017113.jpg,"Patho,Jaw",Which jaw is suspected to have bone loss?,C,A,A,False,False,0
247,017118.jpg,Teeth,How many teeth are visualized in the radiograph?,C,C,C,True,False,0
248,017118.jpg,Teeth,Which of the following is true about the wisdom teeth 38 and 48?,B,D,D,False,False,0
251,017137.jpg,Teeth,Which wisdom teeth are erupted according to the report?,A,B,B,False,False,0
262,017148.jpg,"HisT,Jaw",Which of the following is NOT a visible structure in the jaw?,C,C,C,True,False,0
267,017168.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jaw-specific observations?,B,B,B,True,False,0
271,017202.jpg,"Teeth,Patho",Which of the following teeth is erupted and suspected to be a wisdom tooth?,C,D,D,False,False,0
274,017202.jpg,HisT,What historical dental intervention is visible on tooth 27?,C,C,C,True,False,0
279,017204.jpg,"Teeth,HisT",Which teeth show signs of fillings?,B,B,B,True,False,0
288,017215.jpg,HisT,Which of the following historical interventions is NOT present in the radiograph?,B,C,C,False,False,0
294,017220.jpg,"Teeth,Patho",Which tooth shows signs of a periapical cyst?,D,C,C,False,False,0
295,017239.jpg,"Teeth,HisT",Which tooth has both a crown and root canal treatment?,C,C,C,True,False,0
296,017239.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jawbone?,D,B,B,False,False,0
300,017271.jpg,"Teeth,Patho",Which tooth is suspected to have a periapical abscess?,D,C,C,False,False,0
