index,rubric,score,judge_raw
1,original,0.0,0.0
1,rephrased,0.0,0.0
7,original,0.0,0.0
7,rephrased,0.0,0.0
10,original,0.6,0.6
10,rephrased,0.3,0.3
11,original,0.4,0.4
11,rephrased,0.5,0.5
13,original,0.6,0.6
13,rephrased,0.6,0.6
16,original,0.6,0.6
16,rephrased,0.4,0.4
19,original,0.0,0.0
19,rephrased,0.0,0.0
26,original,0.6,0.6
26,rephrased,0.5,0.5
46,original,0.3,0.3
46,rephrased,0.3,0.3
66,original,0.0,0.0
66,rephrased,0.0,0.0
68,original,0.0,0.0
68,rephrased,0.0,0.0
73,original,0.3,0.3
73,rephrased,0.3,0.3
86,original,0.6,0.6
86,rephrased,0.5,0.5
91,original,0.6,0.6
91,rephrased,0.5,0.5
92,original,0.9,0.9
92,rephrased,0.9,0.9
95,original,0.0,0.0
95,rephrased,0.0,0.0
109,original,0.0,0.0
109,rephrased,0.0,0.0
115,original,0.9,0.9
115,rephrased,0.9,0.9
120,original,0.0,0.0
120,rephrased,0.0,0.0
122,original,0.3,0.3
122,rephrased,0.5,0.5
128,original,0.0,0.0
128,rephrased,0.0,0.0
141,original,0.0,0.0
141,rephrased,0.0,0.0
149,original,0.6,0.6
149,rephrased,0.3,0.3
158,original,0.0,0.0
158,rephrased,0.0,0.0
161,original,0.6,0.6
161,rephrased,0.3,0.3
162,original,0.0,0.0
162,rephrased,0.0,0.0
169,original,0.7,0.7
169,rephrased,0.5,0.5
170,original,0.0,0.0
170,rephrased,0.0,0.0
184,original,0.6,0.6
184,rephrased,0.3,0.3
186,original,0.2,0.2
186,rephrased,0.0,0.0
192,original,0.0,0.0
192,rephrased,0.0,0.0
204,original,0.0,0.0
204,rephrased,0.0,0.0
210,original,0.0,0.0
210,rephrased,0.0,0.0
215,original,0.0,0.0
215,rephrased,0.0,0.0
224,original,0.3,0.3
224,rephrased,0.3,0.3
226,original,0.2,0.2
226,rephrased,0.0,0.0
229,original,0.3,0.3
229,rephrased,0.3,0.3
233,original,0.6,0.6
233,rephrased,0.6,0.6
235,original,0.3,0.3
235,rephrased,0.2,0.2
237,original,0.2,0.2
237,rephrased,0.0,0.0
249,original,0.0,0.0
249,rephrased,0.0,0.0
252,original,0.0,0.0
252,rephrased,0.0,0.0
265,original,0.0,0.0
265,rephrased,0.0,0.0
269,original,0.3,0.3
269,rephrased,0.3,0.3
277,original,0.0,0.0
277,rephrased,0.0,0.0
279,original,0.9,0.9
279,rephrased,0.7,0.7
282,original,0.2,0.2
282,rephrased,0.2,0.2
283,original,0.0,0.0
283,rephrased,0.0,0.0
285,original,0.6,0.6
285,rephrased,0.6,0.6
287,original,0.3,0.3
287,rephrased,0.3,0.3
289,original,0.2,0.2
289,rephrased,0.2,0.2
295,original,0.0,0.0
295,rephrased,0.0,0.0
315,original,0.4,0.4
315,rephrased,0.5,0.5
339,original,0.0,0.0
339,rephrased,0.0,0.0
341,original,0.6,0.6
341,rephrased,0.6,0.6
347,original,0.3,0.3
347,rephrased,0.3,0.3
351,original,0.0,0.0
351,rephrased,0.0,0.0
356,original,0.0,0.0
356,rephrased,0.0,0.0
367,original,0.6,0.6
367,rephrased,0.3,0.3
369,original,0.9,0.9
369,rephrased,0.9,0.9
371,original,0.6,0.6
371,rephrased,0.6,0.6
373,original,0.0,0.0
373,rephrased,0.0,0.0
374,original,0.0,0.0
374,rephrased,0.0,0.0
378,original,0.3,0.3
378,rephrased,0.2,0.2
390,original,0.3,0.3
390,rephrased,0.3,0.3
392,original,0.0,0.0
392,rephrased,0.0,0.0
395,original,0.6,0.6
395,rephrased,0.6,0.6
396,original,0.0,0.0
396,rephrased,0.0,0.0
409,original,0.0,0.0
409,rephrased,0.0,0.0
411,original,0.2,0.2
411,rephrased,0.0,0.0
416,original,0.0,0.0
416,rephrased,0.0,0.0
417,original,0.0,0.0
417,rephrased,0.0,0.0
421,original,0.6,0.6
421,rephrased,0.3,0.3
425,original,0.6,0.6
425,rephrased,0.6,0.6
426,original,0.6,0.6
426,rephrased,0.0,0.0
427,original,0.2,0.2
427,rephrased,0.0,0.0
430,original,0.6,0.6
430,rephrased,0.6,0.6
433,original,0.0,0.0
433,rephrased,0.0,0.0
437,original,0.7,0.7
437,rephrased,0.7,0.7
447,original,0.3,0.3
447,rephrased,0.3,0.3
456,original,0.9,0.9
456,rephrased,0.9,0.9
460,original,0.0,0.0
460,rephrased,0.0,0.0
465,original,0.3,0.3
465,rephrased,0.3,0.3
471,original,0.9,0.9
471,rephrased,0.9,0.9
483,original,0.3,0.3
483,rephrased,0.3,0.3
487,original,0.3,0.3
487,rephrased,0.6,0.6
496,original,0.3,0.3
496,rephrased,0.3,0.3
497,original,0.9,0.9
497,rephrased,1.0,1.0
500,original,0.0,0.0
500,rephrased,0.0,0.0
502,original,0.3,0.3
502,rephrased,0.3,0.3
507,original,0.7,0.7
507,rephrased,0.6,0.6
509,original,0.6,0.6
509,rephrased,0.5,0.5
515,original,0.6,0.6
515,rephrased,0.6,0.6
520,original,0.0,0.0
520,rephrased,0.0,0.0
531,original,0.0,0.0
531,rephrased,0.0,0.0
534,original,0.7,0.7
534,rephrased,0.5,0.5
539,original,0.0,0.0
539,rephrased,0.0,0.0
556,original,0.6,0.6
556,rephrased,0.3,0.3
563,original,0.0,0.0
563,rephrased,0.0,0.0
572,original,0.2,0.2
572,rephrased,0.2,0.2
