index,score
0,1.0
1,0.0
2,0.7
3,0.0
4,0.6
5,0.7
6,0.3
7,0.2
8,0.6
9,0.2
10,0.3
11,0.6
12,0.3
13,0.9
14,0.2
15,0.7
16,0.6
17,0.0
18,0.3
19,0.2
20,0.9
21,0.0
22,0.3
23,0.0
24,0.0
25,0.6
26,0.6
27,0.6
28,0.6
29,0.7
30,0.6
31,0.2
32,0.6
33,0.6
34,0.7
35,0.6
36,0.3
37,0.6
38,0.0
39,0.7
40,0.6
41,0.0
42,0.0
43,0.9
44,0.0
45,0.0
46,0.3
47,0.6
48,0.0
49,0.7
50,0.6
51,0.2
52,0.3
53,0.6
54,0.6
55,0.9
56,0.6
57,0.7
58,0.7
59,1.0
60,0.2
61,0.9
62,0.7
63,0.3
64,0.7
65,0.6
66,0.0
67,0.9
68,0.0
69,0.9
70,0.3
71,0.3
72,0.6
73,0.3
74,0.3
75,0.3
76,0.6
77,0.6
78,0.6
79,0.0
80,0.6
81,0.6
82,0.6
83,0.2
84,0.0
85,0.2
86,0.6
87,0.9
88,0.6
89,0.6
90,0.0
91,0.6
92,0.9
93,0.7
94,0.3
95,0.6
96,0.9
97,0.0
98,0.0
99,0.3
100,0.0
101,0.0
102,0.6
103,0.7
104,0.6
105,0.9
106,0.7
107,1.0
108,0.7
109,0.0
110,0.2
111,0.4
112,0.2
113,0.3
114,0.0
115,0.9
116,0.7
117,0.3
118,0.7
119,0.7
120,0.0
121,0.3
122,0.3
123,0.7
124,0.0
125,0.6
126,0.6
127,0.6
128,0.0
129,0.0
130,0.6
131,0.6
132,0.9
133,0.3
134,0.3
135,0.7
136,0.9
137,0.6
138,0.6
139,0.6
140,0.7
141,0.0
142,0.6
143,0.6
144,0.0
145,0.9
146,0.0
147,0.9
148,0.6
149,0.6
150,0.0
151,0.6
152,0.0
153,0.3
154,0.6
155,0.6
156,0.7
157,0.2
158,0.0
159,0.9
160,0.7
161,0.7
162,0.0
163,0.3
164,0.7
165,0.3
166,0.7
167,0.3
168,0.0
169,0.9
170,0.0
171,0.6
172,0.7
173,0.6
174,0.2
175,0.6
176,0.3
177,0.7
178,0.6
179,0.0
180,0.3
181,0.3
182,0.6
183,0.6
184,0.3
185,0.0
186,0.0
187,0.9
188,0.0
189,0.3
190,0.0
191,0.9
192,0.3
193,0.3
194,0.3
195,0.3
196,0.0
197,0.7
198,0.3
199,0.0
200,0.3
201,0.9
202,0.6
203,0.6
204,0.3
205,0.0
206,0.6
207,0.7
208,0.7
209,0.7
210,0.7
211,0.6
212,0.7
213,0.7
214,0.9
215,0.0
216,0.9
217,0.6
218,0.3
219,0.6
220,0.9
221,0.6
222,0.0
223,0.6
224,0.6
225,0.0
226,0.3
227,0.3
228,0.6
229,0.0
230,0.2
231,0.6
232,0.9
233,0.7
234,0.6
235,0.7
236,0.9
237,0.6
238,0.0
239,0.6
240,0.9
241,0.0
242,0.0
243,0.6
244,0.7
245,0.7
246,0.6
247,0.6
248,0.7
249,0.9
250,0.9
251,0.7
252,0.6
253,0.6
254,0.6
255,0.3
256,0.7
257,0.6
258,0.0
259,0.3
260,0.0
261,0.7
262,0.7
263,0.6
264,0.0
265,0.0
266,1.0
267,0.6
268,0.0
269,0.6
270,0.0
271,0.0
272,0.7
273,0.9
274,0.3
275,0.6
276,0.6
277,0.0
278,0.3
279,0.3
280,0.9
281,0.6
282,0.6
283,0.3
284,0.6
285,0.2
286,0.6
287,0.3
288,0.6
289,0.6
290,0.6
291,0.6
292,0.0
293,0.6
294,0.6
295,0.9
296,0.2
297,0.7
298,0.6
299,0.6
300,0.3
301,0.6
302,0.6
303,0.2
304,0.6
305,0.3
306,0.6
307,0.3
308,0.0
309,0.7
310,0.7
311,0.3
312,0.3
313,0.7
314,0.0
315,0.6
316,0.7
317,0.6
318,0.6
319,0.7
320,0.8
321,0.0
322,0.9
323,0.2
324,0.6
325,0.0
326,0.4
327,0.0
328,0.0
329,0.6
330,0.6
331,0.0
332,0.6
333,0.3
334,0.3
335,0.6
336,0.7
337,1.0
338,0.0
339,0.0
340,0.6
341,0.6
342,0.9
343,0.4
344,0.0
345,0.6
346,0.9
347,0.6
348,0.3
349,0.0
350,0.0
351,1.0
352,0.0
353,0.6
354,0.9
355,0.0
356,0.0
357,0.0
358,0.0
359,0.7
360,0.3
361,0.0
362,0.6
363,0.0
364,0.0
365,0.3
366,0.6
367,0.7
368,0.6
369,0.9
370,0.6
371,0.7
372,0.0
373,0.2
374,0.7
375,0.6
376,0.6
377,0.7
378,0.2
379,0.9
380,0.2
381,0.6
382,0.7
383,0.6
384,1.0
385,0.3
386,0.7
387,0.6
388,0.0
389,0.6
390,0.6
391,0.3
392,0.0
393,0.6
394,0.3
395,0.6
396,0.0
397,0.3
398,0.2
399,0.3
400,0.6
