index,rubric,score,judge_raw
19,original,0.0,0.0
19,rephrased,0.0,0.0
26,original,0.9,0.9
26,rephrased,0.9,0.9
46,original,0.0,0.0
46,rephrased,0.0,0.0
92,original,0.9,0.9
92,rephrased,1.0,1.0
95,original,0.6,0.6
95,rephrased,0.0,0.0
109,original,0.0,0.0
109,rephrased,0.0,0.0
149,original,0.0,0.0
149,rephrased,0.0,0.0
170,original,0.0,0.0
170,rephrased,0.0,0.0
224,original,0.0,0.0
224,rephrased,0.0,0.0
226,original,0.0,0.0
226,rephrased,0.0,0.0
252,original,0.0,0.0
252,rephrased,0.0,0.0
265,original,0.0,0.0
265,rephrased,0.0,0.0
269,original,0.0,Mandibular Dentition:**   - **Total Teeth Count:** 29
269,rephrased,0.9,| 0.9
277,original,0.6,0.6
277,rephrased,0.5,0.5
285,original,0.6,0.6
285,rephrased,0.5,0.5
289,original,0.0,0.0
289,rephrased,0.0,0.0
315,original,0.3,0.3
315,rephrased,0.5,0.5
341,original,0.0,0.0
341,rephrased,0.0,0.0
369,original,0.9,0.9
369,rephrased,1.0,1.0
395,original,0.0,0.0
395,rephrased,0.0,0.0
426,original,0.7,0.7
426,rephrased,0.5,0.5
437,original,0.0,0.0
437,rephrased,0.0,0.0
460,original,0.2,0.2
460,rephrased,0.0,0.0
471,original,0.0,0.0
471,rephrased,0.0,0.0
483,original,0.4,0.4
483,rephrased,0.0,0.0
496,original,0.0,0.0
496,rephrased,0.0,0.0
502,original,0.0,0.0
502,rephrased,0.0,0.0
534,original,0.0,0.0
534,rephrased,1.0,1.0
563,original,0.9,0.9
563,rephrased,0.7,0.7
572,original,0.7,0.7
572,rephrased,0.9,0.9
