index,disposition,reason,original_answer,balanced_answer,flag_reason,in_reading_score
0,KEEP,no defect found by inspection of the released files,A,B,,True
1,KEEP,no defect found by inspection of the released files,B,D,,True
2,KEEP,no defect found by inspection of the released files,B,A,,True
3,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,D,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
4,KEEP,no defect found by inspection of the released files,A,B,,True
5,KEEP,no defect found by inspection of the released files,D,C,,True
6,KEEP,no defect found by inspection of the released files,D,A,,True
7,KEEP,no defect found by inspection of the released files,C,D,,True
8,KEEP,no defect found by inspection of the released files,C,B,,True
9,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,B,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
10,KEEP,no defect found by inspection of the released files,C,B,,True
11,KEEP,no defect found by inspection of the released files,B,B,,True
12,KEEP,no defect found by inspection of the released files,C,B,,True
13,KEEP,no defect found by inspection of the released files,C,D,,True
14,KEEP,no defect found by inspection of the released files,C,C,,True
15,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
16,KEEP,no defect found by inspection of the released files,B,C,,True
17,KEEP,no defect found by inspection of the released files,D,D,,True
18,KEEP,no defect found by inspection of the released files,B,D,,True
19,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",C,C,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
20,KEEP,no defect found by inspection of the released files,B,D,,True
21,KEEP,no defect found by inspection of the released files,B,D,,True
22,KEEP,no defect found by inspection of the released files,C,B,,True
23,KEEP,no defect found by inspection of the released files,B,A,,True
24,KEEP,no defect found by inspection of the released files,B,A,,True
25,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
26,KEEP,no defect found by inspection of the released files,B,D,,True
27,KEEP,no defect found by inspection of the released files,A,A,,True
28,KEEP,no defect found by inspection of the released files,D,B,,True
29,KEEP,no defect found by inspection of the released files,D,A,,True
30,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
31,KEEP,no defect found by inspection of the released files,D,B,,True
32,KEEP,no defect found by inspection of the released files,C,B,,True
33,KEEP,no defect found by inspection of the released files,B,D,,True
34,KEEP,no defect found by inspection of the released files,B,A,,True
35,KEEP,no defect found by inspection of the released files,B,B,,True
36,KEEP,no defect found by inspection of the released files,A,C,,True
37,KEEP,no defect found by inspection of the released files,B,A,,True
38,KEEP,no defect found by inspection of the released files,A,B,,True
39,KEEP,no defect found by inspection of the released files,C,B,,True
40,KEEP,no defect found by inspection of the released files,C,C,,True
41,KEEP,no defect found by inspection of the released files,A,B,,True
42,KEEP,no defect found by inspection of the released files,B,B,,True
43,KEEP,no defect found by inspection of the released files,B,C,,True
44,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,A,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
45,KEEP,no defect found by inspection of the released files,B,C,,True
46,KEEP,no defect found by inspection of the released files,B,C,,True
47,KEEP,no defect found by inspection of the released files,D,A,,True
48,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,B,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
49,KEEP,no defect found by inspection of the released files,D,A,,True
50,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,D,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
51,KEEP,no defect found by inspection of the released files,B,D,,True
52,KEEP,no defect found by inspection of the released files,A,C,,True
53,KEEP,no defect found by inspection of the released files,B,D,,True
54,KEEP,no defect found by inspection of the released files,B,D,,True
55,KEEP,no defect found by inspection of the released files,B,A,,True
56,KEEP,no defect found by inspection of the released files,B,C,,True
57,KEEP,no defect found by inspection of the released files,C,A,,True
58,KEEP,no defect found by inspection of the released files,D,A,,True
59,KEEP,no defect found by inspection of the released files,B,D,,True
60,KEEP,no defect found by inspection of the released files,B,C,,True
61,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",A,C,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
62,KEEP,no defect found by inspection of the released files,B,D,,True
63,KEEP,no defect found by inspection of the released files,B,C,,True
64,KEEP,no defect found by inspection of the released files,A,C,,True
65,KEEP,no defect found by inspection of the released files,B,C,,True
66,KEEP,no defect found by inspection of the released files,A,D,,True
67,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",C,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
68,KEEP,no defect found by inspection of the released files,A,B,,True
69,KEEP,no defect found by inspection of the released files,D,C,,True
70,KEEP,no defect found by inspection of the released files,C,B,,True
71,KEEP,no defect found by inspection of the released files,C,D,,True
72,KEEP,no defect found by inspection of the released files,C,C,,True
73,KEEP,no defect found by inspection of the released files,D,A,,True
74,KEEP,no defect found by inspection of the released files,C,A,,True
75,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,D,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
76,KEEP,no defect found by inspection of the released files,B,C,,True
77,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,A,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
78,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,B,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
79,KEEP,no defect found by inspection of the released files,B,D,,True
80,KEEP,no defect found by inspection of the released files,B,C,,True
81,KEEP,no defect found by inspection of the released files,B,C,,True
82,KEEP,no defect found by inspection of the released files,B,D,,True
83,KEEP,no defect found by inspection of the released files,B,C,,True
84,KEEP,no defect found by inspection of the released files,C,D,,True
85,KEEP,no defect found by inspection of the released files,C,C,,True
86,KEEP,no defect found by inspection of the released files,C,C,,True
87,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,A,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
88,KEEP,no defect found by inspection of the released files,B,B,,True
89,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
90,KEEP,no defect found by inspection of the released files,B,D,,True
91,KEEP,no defect found by inspection of the released files,C,C,,True
92,KEEP,no defect found by inspection of the released files,D,D,,True
93,KEEP,no defect found by inspection of the released files,B,B,,True
94,KEEP,no defect found by inspection of the released files,A,C,,True
