index,arm,score,judge_raw
9,plain,0.0,0.0
9,coax,0.2,0.2
9,coax_primer,0.0,0.0
9,coax_primer_coords,0.0,0.0
15,plain,0.2,0.2
15,coax,0.3,0.3
15,coax_primer,0.3,0.3
15,coax_primer_coords,0.2,0.2
33,plain,0.0,0.0
33,coax,0.6,0.6
33,coax_primer,0.6,0.6
33,coax_primer_coords,0.6,0.6
39,plain,0.0,0.0
39,coax,0.6,0.6
39,coax_primer,0.6,0.6
39,coax_primer_coords,0.3,0.3
45,plain,0.0,0.0
45,coax,0.3,0.3
45,coax_primer,0.3,0.3
45,coax_primer_coords,0.9,0.9
75,plain,0.0,0.0
75,coax,0.3,0.3
75,coax_primer,0.3,0.3
75,coax_primer_coords,0.3,0.3
93,plain,0.0,0.0
93,coax,0.7,0.7
93,coax_primer,0.7,0.7
93,coax_primer_coords,0.7,0.7
136,plain,0.9,0.9
136,coax,0.9,0.9
136,coax_primer,0.7,0.7
136,coax_primer_coords,0.9,0.9
148,plain,0.0,0.0
148,coax,0.0,0.0
148,coax_primer,0.0,0.0
148,coax_primer_coords,0.7,0.7
160,plain,0.0,0.0
160,coax,0.6,0.6
160,coax_primer,0.0,0.0
160,coax_primer_coords,0.7,0.7
183,plain,0.0,0.0
183,coax,0.2,0.2
183,coax_primer,0.3,0.3
183,coax_primer_coords,0.6,0.6
199,plain,0.0,0.0
199,coax,0.0,0.0
199,coax_primer,0.0,0.0
199,coax_primer_coords,0.2,0.2
262,plain,0.0,0.0
262,coax,0.6,0.6
262,coax_primer,0.6,0.6
262,coax_primer_coords,0.7,0.7
274,plain,0.0,0.0
274,coax,0.3,0.3
274,coax_primer,0.3,0.3
274,coax_primer_coords,0.2,0.2
292,plain,0.2,0.2
292,coax,0.3,0.3
292,coax_primer,0.3,0.3
292,coax_primer_coords,0.3,0.3
322,plain,0.0,0.0
322,coax,0.9,0.9
322,coax_primer,0.9,0.9
322,coax_primer_coords,0.9,0.9
328,plain,0.3,0.3
328,coax,0.0,0.0
328,coax_primer,0.2,0.2
328,coax_primer_coords,0.3,0.3
334,plain,0.6,0.6
334,coax,0.6,0.6
334,coax_primer,0.3,0.3
334,coax_primer_coords,0.0,0.0
376,plain,0.2,0.2
376,coax,0.3,0.3
376,coax_primer,0.3,0.3
376,coax_primer_coords,0.0,0.0
424,plain,0.0,0.0
424,coax,0.9,0.9
424,coax_primer,0.7,0.7
424,coax_primer_coords,0.9,0.9
435,plain,0.0,0.0
435,coax,0.3,0.3
435,coax_primer,0.2,0.2
435,coax_primer_coords,0.3,0.3
446,plain,0.0,0.0
446,coax,0.6,0.6
446,coax_primer,0.9,0.9
446,coax_primer_coords,0.9,0.9
452,plain,0.0,0.0
452,coax,0.0,0.0
452,coax_primer,0.3,0.3
452,coax_primer_coords,0.0,0.0
463,plain,0.6,0.6
463,coax,0.0,0.0
463,coax_primer,0.2,0.2
463,coax_primer_coords,0.2,0.2
480,plain,0.0,0.0
480,coax,0.0,0.0
480,coax_primer,0.0,0.0
480,coax_primer_coords,0.5,0.5
501,plain,0.0,0.0
501,coax,0.2,0.2
501,coax_primer,0.2,0.2
501,coax_primer_coords,0.0,0.0
541,plain,1.0,1.0
541,coax,1.0,1.0
541,coax_primer,0.9,0.9
541,coax_primer_coords,0.9,0.9
547,plain,0.6,0.6
547,coax,0.6,0.6
547,coax_primer,0.7,0.7
547,coax_primer_coords,0.3,0.3
553,plain,0.3,0.3
553,coax,0.3,0.3
553,coax_primer,0.3,0.3
553,coax_primer_coords,0.2,0.2
576,plain,0.0,0.0
576,coax,0.2,0.2
576,coax_primer,0.3,0.3
576,coax_primer_coords,0.6,0.6
