index,file_name,category,question,answer,predicted,raw_response,correct,refused,used_fallback,n_examples,prompt_mode
0,016640.jpg,"Teeth,Patho",Which of the following teeth is suspected to have caries?,B,B,B,True,False,False,0,coax
1,016640.jpg,Teeth,How many natural teeth are visualized in the panoramic radiograph?,D,C,C,False,False,False,0,coax
2,016640.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,A,A,A,True,False,False,0,coax
3,016640.jpg,"Teeth,HisT",Which of the following teeth has a crown and root canal treatment?,D,B,B,False,False,False,0,coax
4,016640.jpg,Jaw,Which of the following is TRUE regarding the jaw-specific observations?,B,B,B,True,False,False,0,coax
5,016641.jpg,"Teeth,Patho",What is required for the periapical lesion at tooth 36?,C,C,C,True,False,False,0,coax
6,016641.jpg,"HisT,Jaw",Which structures are visible in the image?,A,A,A,True,False,False,0,coax
7,016641.jpg,"Teeth,Patho",Which tooth exhibits imaging features suggestive of a periapical granuloma?,D,D,D,True,False,False,0,coax
8,016641.jpg,"Teeth,HisT,SumRec",Which tooth is obvious for a filling?,B,D,D,False,False,False,0,coax
9,016642.jpg,Jaw,Is there any apparent bone loss in the image?,B,A,A,False,False,False,0,coax
10,016642.jpg,"Teeth,HisT",Which tooth has a crown restoration?,B,B,B,True,False,False,0,coax
11,016642.jpg,Teeth,Which of the following wisdom teeth are impacted?,B,B,B,True,False,False,0,coax
12,016642.jpg,Teeth,How many teeth are visualized in the radiograph?,B,C,C,False,False,False,0,coax
13,016642.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,D,D,D,True,False,False,0,coax
14,016648.jpg,Teeth,How many wisdom teeth are erupted in the patient?,C,D,D,False,False,False,0,coax
15,016648.jpg,"Teeth,Jaw",What is the status of bone loss in the image?,A,B,B,False,False,False,0,coax
16,016648.jpg,"Teeth,Patho",Which tooth is suspicious for deep caries?,C,B,B,False,False,False,0,coax
17,016648.jpg,"Teeth,Patho",Which tooth shows evidence of a periapical lesion?,D,D,D,True,False,False,0,coax
18,016649.jpg,"Teeth,HisT",Which site has a dental implant placed?,D,D,D,True,False,False,0,coax
