index,score,judge_raw
1,0.0,0.0
7,0.0,0.0
10,0.2,0.2
11,0.6,0.6
13,0.6,0.6
16,0.6,0.6
19,0.0,0.0
26,0.7,0.7
46,0.6,0.6
66,0.6,0.6
68,0.6,0.6
73,0.2,0.2
86,0.9,0.9
91,0.6,0.6
92,0.9,0.9
95,0.6,0.6
109,1.0,1.0
115,0.7,0.7
120,0.2,0.2
122,0.7,0.7
128,0.6,0.6
141,0.0,0.0
149,0.6,0.6
158,0.0,0.0
161,0.6,0.6
162,0.0,0.0
169,0.6,0.6
170,1.0,1.0
184,0.0,0.0
186,0.2,0.2
192,0.6,0.6
204,0.9,0.9
210,0.0,0.0
215,0.9,0.9
224,0.6,0.6
226,0.6,0.6
229,1.0,1.0
233,0.6,0.6
235,0.9,0.9
237,0.3,0.3
249,1.0,1.0
252,0.2,0.2
265,0.2,0.2
269,0.3,0.3
277,0.9,0.9
279,0.5,0.5
282,0.0,0.0
283,0.0,0.0
285,0.7,0.7
287,0.2,0.2
289,0.0,0.0
295,0.5,0.5
315,0.3,0.3
339,0.0,0.0
341,0.6,0.6
347,0.3,0.3
351,0.9,0.9
356,0.2,0.2
367,1.0,1.0
369,1.0,1.0
371,0.6,0.6
373,0.0,0.0
374,0.7,0.7
378,0.2,0.2
390,0.0,0.0
392,0.0,0.0
395,0.3,0.3
396,0.0,0.0
409,0.0,0.0
411,0.9,0.9
416,0.0,0.0
417,1.0,1.0
421,0.7,0.7
425,0.6,0.6
426,0.9,0.9
427,0.0,0.0
430,0.3,0.3
433,0.9,0.9
437,1.0,1.0
447,0.6,0.6
456,0.0,0.0
460,0.2,0.2
465,0.3,0.3
471,0.9,0.9
483,0.2,0.2
487,0.6,0.6
496,0.6,0.6
497,0.2,0.2
500,0.6,0.6
502,0.3,0.3
507,0.7,0.7
509,0.6,0.6
515,0.2,0.2
520,1.0,1.0
531,0.0,0.0
534,1.0,1.0
539,0.9,0.9
556,0.7,0.7
563,0.2,0.2
572,0.9,0.9
