index,rubric,score,judge_raw
9,original,0.5,0.5
9,rephrased,0.5,0.5
15,original,0.0,0.0
15,rephrased,0.0,0.0
33,original,0.0,0.0
33,rephrased,1.0,| 1.0
39,original,0.6,Correctness: 0.6
39,rephrased,1.0,integrity: it is a wisdom tooth and is not impacted. | 1
45,original,0.0,0.0
45,rephrased,0.5,0.5
75,original,0.0,0.0
75,rephrased,0.0,0.0
93,original,0.7,0.7
93,rephrased,1.0,1.0
136,original,0.9,0.9
136,rephrased,0.9,0.9
148,original,0.0,0.0
148,rephrased,0.0,0.0
160,original,0.0,0.0
160,rephrased,0.0,0.0
183,original,0.0,0.0
183,rephrased,0.0,0.0
199,original,0.2,0.2
199,rephrased,0.0,0.0
262,original,0.0,0.0
262,rephrased,0.0,0.0
274,original,0.0,0.0
274,rephrased,0.0,0.0
292,original,0.0,0.0
292,rephrased,0.0,0.0
322,original,0.0,0.0
322,rephrased,0.0,0.0
328,original,0.0,0.0
328,rephrased,0.0,0.0
334,original,0.0,0.0
334,rephrased,0.0,0.0
376,original,0.0,0.0
376,rephrased,0.0,0.0
424,original,0.0,0.0
424,rephrased,0.0,0.0
435,original,0.0,0.0
435,rephrased,0.0,0.0
446,original,0.6,0.6
446,rephrased,0.0,0.0
452,original,0.6,0.6
452,rephrased,1.0,47**: The caries is prominently visible in this region. | 1
463,original,0.7,0.7
463,rephrased,0.0,0.0
480,original,0.0,0.0
480,rephrased,0.0,0.0
501,original,0.0,0.0
501,rephrased,0.0,0.0
541,original,0.9,0.9
541,rephrased,1.0,1.0
547,original,0.7,0.7
547,rephrased,0.9,0.9
553,original,0.0,0.0
553,rephrased,0.0,0.0
576,original,1.0,signs of pathology or structural compromise.** | 1.0
576,rephrased,1.0,signs of pathology or structural compromise.** | 1.0
