index,score
90,0.1
60,0.0
91,0.3
89,0.2
59,0.3
94,0.3
93,0.8
92,0.9
62,0.9
63,0.3
61,0.3
97,0.7
98,0.8
95,0.8
64,0.3
41,1.0
99,0.7
96,0.9
42,0.0
43,0.0
45,0.2
44,0.0
101,0.0
100,0.9
46,0.3
102,0.0
103,0.3
104,0.3
0,0.9
1,0.2
3,0.0
4,0.9
2,0.9
30,0.6
32,0.7
33,0.7
5,0.6
47,0.3
31,0.5
48,0.3
34,0.6
51,0.3
50,0.6
49,0.7
29,0.3
138,0.7
52,0.4
140,0.7
139,0.3
141,0.0
143,0.3
109,0.8
110,0.7
112,0.0
111,0.9
201,0.3
202,0.9
203,0.0
113,0.3
204,0.1
205,0.2
190,0.8
191,0.2
206,0.2
193,0.3
192,0.6
194,0.6
156,0.3
157,0.3
159,0.7
160,0.7
158,0.9
161,0.7
121,0.2
122,0.6
123,0.2
124,0.3
179,0.1
120,0.1
180,0.0
182,0.3
183,0.3
150,0.0
151,0.7
125,0.3
152,0.3
154,0.0
155,0.3
219,0.7
218,0.9
220,0.7
184,0.2
221,0.7
222,0.9
223,0.7
229,0.7
230,0.0
231,0.4
228,0.8
233,0.7
240,0.8
241,1.0
232,0.8
142,0.2
181,0.0
243,0.3
294,0.4
245,0.7
242,0.3
295,0.3
296,0.0
244,0.7
297,0.2
298,0.3
282,0.3
153,0.3
283,0.9
285,0.6
284,0.9
286,0.9
288,0.6
289,0.3
287,0.3
290,0.1
292,0.0
299,0.3
291,0.5
293,0.3
314,0.3
312,0.9
313,0.8
316,0.3
300,0.1
301,0.3
317,0.3
303,0.0
302,0.4
304,0.4
305,0.1
324,0.9
326,0.9
325,0.9
327,0.7
328,0.7
315,0.3
337,0.9
336,0.9
338,0.9
340,0.9
329,0.7
341,0.7
339,0.7
342,0.9
344,0.0
343,0.6
346,0.3
349,0.0
347,0.6
351,0.9
348,0.0
350,0.3
345,0.7
353,0.3
386,0.9
385,0.3
388,0.9
384,0.9
389,0.7
352,0.3
409,0.9
410,0.0
387,0.6
412,0.3
413,0.7
442,0.3
408,0.6
444,0.8
445,0.3
411,0.9
443,0.6
447,0.7
414,0.5
416,0.0
415,0.9
417,0.0
446,0.2
419,0.3
418,0.9
448,0.2
449,0.7
452,0.8
451,0.9
453,0.6
454,0.5
450,0.7
456,0.0
457,0.0
458,0.2
466,0.8
459,0.2
468,0.8
467,0.0
469,0.3
470,0.3
455,0.1
520,1.0
521,0.9
522,0.1
524,0.3
532,0.7
531,0.3
533,0.6
535,0.1
534,0.9
546,0.3
523,0.9
545,0.3
536,0.3
547,0.3
543,0.7
548,0.7
549,0.2
550,0.9
551,0.9
553,0.3
552,0.3
554,0.3
544,0.3
