image,n_impact_boxes,truth,pred,n_truth,n_pred,count_ok,exact_set,hit,miss,extra
016642.jpg,2,48,37|48,1,2,False,False,1,0,1
016649.jpg,0,23,,1,0,False,False,0,1,0
016652.jpg,4,18|28|48,18|28|38|48,3,4,False,False,3,0,1
016655.jpg,5,48,18|28|38|48,1,4,False,False,1,0,3
016657.jpg,1,18|28|38|48,28,4,1,False,False,1,3,0
016693.jpg,1,18|28|38|48,38,4,1,False,False,1,3,0
016713.jpg,1,38,38,1,1,True,True,1,0,0
016726.jpg,3,18|28|48,18|28|48,3,3,True,True,3,0,0
016744.jpg,2,38|48,38|48,2,2,True,True,2,0,0
016790.jpg,3,18|28|38,18|28|37,3,3,True,False,2,1,1
016823.jpg,0,,,0,0,True,True,0,0,0
016826.jpg,3,18|38|48,18|38|48,3,3,True,True,3,0,0
016855.jpg,0,48,,1,0,False,False,0,1,0
016918.jpg,4,18|28|38|48,18|27|38|48,4,4,True,False,3,1,1
016920.jpg,3,18|38|48,18|38|48,3,3,True,True,3,0,0
016955.jpg,1,28,28,1,1,True,True,1,0,0
016975.jpg,4,18|28|38|48,18|27|38|48,4,4,True,False,3,1,1
017018.jpg,2,48,38|48,1,2,False,False,1,0,1
017061.jpg,3,18|38|48,18|38|48,3,3,True,True,3,0,0
017112.jpg,4,18|28|38|48,17|18|28|37,4,4,True,False,2,2,2
017118.jpg,0,,,0,0,True,True,0,0,0
017148.jpg,1,18|38,38,2,1,False,False,1,1,0
017215.jpg,1,38,38,1,1,True,True,1,0,0
017309.jpg,4,18|28|38|48,18|28|38|48,4,4,True,True,4,0,0
017375.jpg,2,38|48,38|48,2,2,True,True,2,0,0
017656.jpg,0,28|48,,2,0,False,False,0,2,0
017773.jpg,4,18|28|38|48,17|28|38|48,4,4,True,False,3,1,1
017936.jpg,2,18|28|38|48,38|48,4,2,False,False,2,2,0
018010.jpg,0,48,,1,0,False,False,0,1,0
018105.jpg,1,48,48,1,1,True,True,1,0,0
018189.jpg,0,38|48,,2,0,False,False,0,2,0
018231.jpg,0,,,0,0,True,True,0,0,0
018254.jpg,1,48,48,1,1,True,True,1,0,0
018263.jpg,2,38|48,38|48,2,2,True,True,2,0,0
018276.jpg,0,48,,1,0,False,False,0,1,0
018277.jpg,3,,18|38|48,0,3,False,False,0,0,3
018278.jpg,2,38|48,18|38,2,2,True,False,1,1,1
018377.jpg,2,28|38,28|38,2,2,True,True,2,0,0
018477.jpg,2,18|28|38|48,28|38,4,2,False,False,2,2,0
018494.jpg,3,28|38|48,28|38|48,3,3,True,True,3,0,0
