index,score,judge_raw
1,0.0,0.0
7,0.0,0.0
10,0.3,0.3
11,0.4,0.4
13,0.2,0.2
16,0.3,0.3
19,0.3,0.3
26,0.7,0.7
46,0.6,0.6
66,0.0,0.0
68,0.0,0.0
73,0.0,0.0
86,0.4,0.4
91,0.6,0.6
92,1.0,1.0
95,0.9,0.9
109,0.0,0.0
115,1.0,1.0
120,0.9,0.9
122,0.7,0.7
128,0.6,0.6
141,0.0,0.0
149,0.3,0.3
158,0.0,0.0
161,0.3,0.3
162,0.0,0.0
169,0.6,0.6
170,0.5,0.5
184,0.0,0.0
186,0.2,0.2
192,0.0,0.0
204,0.9,0.9
210,0.0,0.0
215,0.6,0.6
224,0.6,0.6
226,0.3,0.3
229,0.0,0.0
233,0.3,0.3
235,0.6,0.6
237,0.0,0.0
249,0.9,0.9
252,0.2,0.2
265,0.0,0.0
269,0.6,0.6
277,0.9,0.9
279,0.6,0.6
282,0.0,0.0
283,0.6,0.6
285,0.6,0.6
287,0.0,0.0
289,0.2,0.2
295,0.3,0.3
315,0.0,0.0
339,0.0,0.0
341,0.3,0.3
347,0.3,0.3
351,1.0,1.0
356,0.6,0.6
367,1.0,1.0
369,0.9,0.9
371,0.6,0.6
373,0.0,0.0
374,0.7,0.7
378,0.0,0.0
390,0.0,0.0
392,0.0,0.0
395,0.3,0.3
396,0.0,0.0
409,0.0,0.0
411,0.6,0.6
416,0.0,0.0
417,0.0,0.0
421,0.7,0.7
425,0.3,0.3
426,0.6,0.6
427,0.0,0.0
430,0.7,0.7
433,0.9,0.9
437,0.9,0.9
447,0.6,0.6
456,0.0,0.0
460,0.3,0.3
465,0.6,0.6
471,0.9,0.9
483,0.2,0.2
487,0.0,0.0
496,0.3,0.3
497,0.0,0.0
500,0.2,0.2
502,0.6,0.6
507,0.7,0.7
509,0.6,0.6
515,0.6,0.6
520,1.0,1.0
531,0.0,0.0
534,0.7,0.7
539,0.9,0.9
556,0.6,0.6
563,0.2,0.2
572,0.2,0.2
