index,file_name,category,question,answer,predicted,raw_response,correct,used_fallback,prompt_mode,source
0,016640.jpg,"Teeth,Patho",Which of the following teeth is suspected to have caries?,A,B,B,False,False,coax,whole491
1,016640.jpg,Teeth,How many natural teeth are visualized in the panoramic radiograph?,B,A,A,False,False,coax,whole491
2,016640.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,B,B,B,True,False,coax,whole491
3,016640.jpg,"Teeth,HisT",Which of the following teeth has a crown and root canal treatment?,B,A,A,False,False,coax,whole491
4,016640.jpg,Jaw,Which of the following is TRUE regarding the jaw-specific observations?,A,A,A,True,False,coax,whole491
5,016641.jpg,"Teeth,Patho",What is required for the periapical lesion at tooth 36?,D,D,D,True,False,coax,whole491
6,016641.jpg,"HisT,Jaw",Which structures are visible in the image?,D,D,D,True,False,coax,whole491
7,016641.jpg,"Teeth,Patho",Which tooth exhibits imaging features suggestive of a periapical granuloma?,C,C,C,True,False,coax,whole491
8,016641.jpg,"Teeth,HisT,SumRec",Which tooth is obvious for a filling?,C,B,B,False,False,coax,whole491
9,016642.jpg,Jaw,Is there any apparent bone loss in the image?,B,C,C,False,False,coax,whole491
10,016642.jpg,"Teeth,HisT",Which tooth has a crown restoration?,C,C,C,True,False,coax,whole491
11,016642.jpg,Teeth,Which of the following wisdom teeth are impacted?,B,D,D,False,False,coax,whole491
12,016642.jpg,Teeth,How many teeth are visualized in the radiograph?,C,C,C,True,False,coax,whole491
13,016642.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,C,C,C,True,False,coax,whole491
14,016648.jpg,Teeth,How many wisdom teeth are erupted in the patient?,C,A,A,False,False,coax,whole491
15,016648.jpg,"Teeth,Jaw",What is the status of bone loss in the image?,D,C,C,False,False,coax,whole491
16,016648.jpg,"Teeth,Patho",Which tooth is suspicious for deep caries?,B,B,B,True,False,coax,whole491
17,016648.jpg,"Teeth,Patho",Which tooth shows evidence of a periapical lesion?,D,D,D,True,False,coax,whole491
18,016649.jpg,"Teeth,HisT",Which site has a dental implant placed?,B,C,C,False,False,coax,whole491
19,016649.jpg,"Teeth,HisT",Which tooth has evidence of root canal treatment?,C,C,C,True,False,coax,whole491
20,016649.jpg,"Teeth,Patho",Which tooth has a suspected deep caries?,B,A,A,False,False,coax,whole491
21,016649.jpg,"Teeth,Patho",Which tooth shows signs of a periapical granuloma?,B,C,C,False,False,coax,whole491
22,016649.jpg,"Teeth,HisT",Which tooth has a crown restoration?,C,C,C,True,False,coax,whole491
23,016650.jpg,"Teeth,HisT",Which teeth have undergone root canal treatment?,B,B,B,True,False,coax,whole491
24,016650.jpg,"Teeth,Patho",Which tooth shows signs of a periapical granuloma?,B,B,B,True,False,coax,whole491
25,016650.jpg,Jaw,Does the imaging indicate any bone loss?,B,A,A,False,False,coax,whole491
26,016650.jpg,"Teeth,Patho",Which teeth are suspected to have deep caries?,B,B,B,True,False,coax,whole491
27,016650.jpg,"HisT,Jaw",What is visible in the mandibular areas?,A,A,A,True,False,coax,whole491
28,016652.jpg,"Teeth,Patho,SumRec",Which teeth are recommended for monitoring due to suspicious caries?,D,B,B,False,False,coax,whole491
29,016652.jpg,"HisT,Jaw",Which of the following is NOT a visible structure in the imaging?,D,D,D,True,False,coax,whole491
30,016652.jpg,Jaw,Is there apparent bone loss observed in the jaw?,B,C,C,False,False,coax,whole491
