index,score
59,0.0
60,0.0
61,0.4
62,0.7
63,0.6
64,0.0
89,0.6
90,0.0
91,0.3
92,0.9
93,0.7
94,0.3
95,0.0
96,0.9
97,0.5
98,0.6
99,0.7
29,0.0
30,0.2
31,0.4
32,0.6
33,0.6
34,0.6
100,1.0
101,0.0
102,0.9
103,0.0
104,0.3
41,0.0
42,0.0
43,0.0
44,0.0
45,0.3
46,0.6
47,0.3
48,0.2
49,0.9
50,0.6
51,0.0
52,0.3
0,0.5
1,0.0
2,0.3
3,0.0
4,0.8
5,0.6
138,0.6
139,0.6
140,0.0
141,0.0
142,0.0
143,0.3
156,0.6
157,0.7
158,1.0
159,0.3
160,0.6
161,0.6
109,0.9
110,0.3
111,0.6
112,0.9
113,0.6
120,0.0
121,0.3
122,0.7
123,0.3
124,0.2
125,0.6
190,0.6
191,0.0
192,0.2
193,0.0
194,0.6
179,0.0
180,0.0
181,0.0
182,0.6
183,0.9
184,0.0
201,0.6
202,0.7
203,0.6
204,0.9
205,0.2
206,0.7
218,0.7
219,0.0
220,0.7
221,0.4
222,0.9
223,0.7
150,0.0
151,0.6
152,0.0
153,0.0
154,0.0
155,0.3
240,0.6
241,1.0
242,0.5
243,0.6
244,0.7
245,0.7
228,0.8
229,0.7
230,0.0
231,0.3
232,0.7
233,0.6
312,0.9
313,0.7
314,0.5
315,0.4
316,0.0
317,0.3
294,0.3
295,0.3
296,0.0
297,0.0
298,0.0
299,0.6
300,0.3
301,0.0
302,1.0
303,0.0
304,0.7
305,0.2
282,0.3
283,0.9
284,0.6
285,0.7
286,0.0
287,0.6
324,0.7
325,1.0
326,0.3
327,0.7
328,0.6
329,0.6
288,0.4
289,0.0
290,0.0
291,0.0
292,0.0
293,0.3
336,0.0
337,1.0
338,1.0
339,0.6
340,0.9
341,0.6
342,0.9
343,0.6
344,0.0
345,0.6
346,0.6
347,0.3
414,0.3
415,0.7
416,0.0
417,0.5
418,0.0
419,0.3
442,0.2
443,0.6
444,0.6
445,0.6
446,0.6
447,0.6
448,0.6
449,0.0
450,0.6
451,1.0
452,0.0
453,0.3
408,0.6
409,0.7
410,0.0
411,0.6
412,0.3
413,0.6
454,0.5
455,0.3
456,0.0
457,0.0
458,0.0
459,0.6
520,1.0
521,1.0
522,0.0
523,0.6
524,0.3
348,0.0
349,0.0
350,0.0
351,0.9
352,0.0
353,0.3
384,0.9
385,0.6
386,1.0
387,0.3
388,0.0
389,0.3
531,0.5
532,0.6
533,0.7
534,0.7
535,0.0
536,0.6
466,0.6
467,0.0
468,0.6
469,0.0
470,0.3
543,0.2
544,0.0
545,0.0
546,0.6
547,0.7
548,0.2
549,0.0
550,0.9
551,0.0
552,0.7
553,0.0
554,0.6
