index,file_name,category,question,answer,predicted,raw_response,correct,n_examples
54,016693.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,D,D,D,True,0
55,016693.jpg,"Teeth,Patho,SumRec",Which tooth requires monitoring for suspicious caries?,A,B,B,False,0
56,016693.jpg,"Teeth,Jaw",In which jaw is the missing tooth region detected?,C,B,B,False,0
57,016694.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,A,A,A,True,0
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,B,B,False,0
60,016694.jpg,"Teeth,Patho",Which tooth has a periapical lesion?,C,A,A,False,0
61,016694.jpg,Jaw,Is there apparent bone loss in the jaw?,C,B,B,False,0
62,016708.jpg,"Teeth,HisT",Which tooth shows evidence of a crown restoration and root canal treatment?,D,D,D,True,0
63,016708.jpg,"Teeth,HisT",Which tooth is described as having an implant restoration?,C,C,C,True,0
64,016708.jpg,"Teeth,Patho",Which tooth is suspected to have a periapical granuloma?,C,D,D,False,0
65,016708.jpg,"Patho,Jaw",Which of the following is a finding in the maxillary sinuses?,C,C,C,True,0
66,016708.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,D,D,True,0
67,016712.jpg,"Teeth,Jaw",What is the status of bone loss in the jaw according to the report?,A,A,A,True,0
68,016712.jpg,SumRec,Which of the following is a preventive measure recommended in the report?,B,D,D,False,0
69,016712.jpg,"HisT,Jaw",Which structures are visible in the radiograph?,C,C,C,True,0
70,016712.jpg,"Teeth,SumRec",What is the priority concern regarding tooth 37?,B,B,B,True,0
71,016712.jpg,"Teeth,HisT",Which of the following teeth has a crown restoration with underlying root canal treatment?,D,D,D,True,0
72,016713.jpg,"Patho,Jaw",Which of the following is NOT a finding in the jaw-specific observations?,C,B,B,False,0
74,016713.jpg,Teeth,Which of the following wisdom teeth is suspicious for impaction?,A,A,A,True,0
75,016713.jpg,"Teeth,HisT",Which tooth has a crown restoration?,D,D,D,True,0
76,016713.jpg,Teeth,How many teeth are visualized in the radiograph?,C,D,D,False,0
78,016723.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,B,C,C,False,0
79,016723.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,D,B,B,False,0
80,016723.jpg,Jaw,What is noted regarding the bone architecture?,C,C,C,True,0
81,016723.jpg,Jaw,What is observed in the maxillary sinuses?,C,C,C,True,0
82,016726.jpg,Teeth,Which of the following teeth are impacted wisdom teeth according to the report?,D,D,D,True,0
83,016726.jpg,"Teeth,Patho",Which tooth is suspicious for deep caries?,C,D,D,False,0
84,016726.jpg,"Teeth,Jaw",What is the status of bone architecture in the jaw?,D,D,D,True,0
85,016726.jpg,HisT,What type of dental restoration is found on tooth 25?,C,B,B,False,0
86,016726.jpg,HisT,Can you identify the dental treatment present on tooth 15?,C,D,D,False,0
88,016744.jpg,SumRec,What should be monitored for potential complications?,B,B,B,True,0
89,016744.jpg,Jaw,In which jaw is there evidence of bone loss?,A,A,A,True,0
90,016744.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,D,C,C,False,0
92,016769.jpg,"Teeth,HisT",Which of the following teeth has signs of a root canal treatment?,D,D,D,True,0
93,016769.jpg,Teeth,Which of the following teeth is identified as a wisdom tooth?,B,A,"The correct answer is **D** (which corresponds to #38 under the FDI World Dental Federation notation system, representing the mandibular left third molar / wisdom tooth).",False,0
94,016769.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,C,D,D,False,0
95,016769.jpg,Jaw,What is the radiographic feature of the maxillary sinus?,B,B,B,True,0
96,016783.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,C,C,C,True,0
97,016783.jpg,Teeth,What is the status of the wisdom teeth in the radiograph?,D,C,C,False,0
98,016783.jpg,Jaw,Is there any apparent bone loss in the radiograph?,D,A,A,False,0
99,016783.jpg,"HisT,Jaw",What structures are visible in the jaw?,B,B,B,True,0
100,016783.jpg,Patho,How many teeth show periapical lesions in this panoramic X-ray?,B,A,A,False,0
101,016790.jpg,"Teeth,HisT",Which tooth has both a crown restoration and root canal treatment?,D,D,D,True,0
102,016790.jpg,"Teeth,Patho",Which of the following is a tooth with suspicious caries?,B,B,B,True,0
103,016790.jpg,"Teeth,HisT",Which tooth does have a filling?,C,D,D,False,0
104,016790.jpg,Teeth,Which tooth is erupted among the wisdom teeth?,C,B,B,False,0
