index,question,gt,ans_ctrl,ans_det,score_ctrl,score_det
1,Which teeth are suspected to have caries?,"Teeth #15, and #38 are suspected to have caries.","Teeth suspected to have caries include #17 (distal/occlusal radiolucency), #15 (mesial/distal proximal radiolucency), #25 (distal proximal radiolucency), #27 (mesial/occlusal radiolucency), #37 (mesial proximal radiolucency), and #47 (mesial proximal radiolucency).","Teeth suspected to have caries include #17 (distal/occlusal radiolucency), #14 (mesial radiolucency), #24 (distal radiolucency), and #37 (mesial/occlusal radiolucency).",0.2,0.0
2,Which teeth have a fixed dental prosthesis ?,"Teeth #16, #26, #31, #42, #46, and #41.","Fixed dental prostheses (crowns or bridges) are present on teeth #16 (single crown), #26 (single crown), #46 (single crown), and a 3-unit anterior bridge spanning #31 to #41 (with #31 and #41 as abutments and a pontic replacing the missing central incisor space).","Fixed dental prostheses (crowns) are present on teeth #16, #26, #46, and a splinted crown/bridge restoration is present on the lower anterior teeth #41 and #31.",0.9,0.9
3,Which tooth shows signs of a periapical abscess?,Tooth #46 shows signs of a periapical abscess.,"Tooth #16 shows signs of a periapical abscess, indicated by a well-defined radiolucency surrounding the root apices, combined with previous endodontic treatment.","Tooth #26 shows signs of a periapical abscess, indicated by a well-defined radiolucency surrounding the root apices, combined with previous endodontic treatment and a full-coverage crown.",0.0,0.0
30,"Which teeth show signs of deep caries, and what additional finding is noted in tooth #46?","Teeth #18, #28, #38, #45, #48, and #46 show signs of deep caries. Tooth #46 also has a periapical granuloma.","Deep dental caries (radiolucencies extending into the dentin) are visible on several teeth, most notably on the distal aspect of #47 and the occlusal/distal aspects of #17 and #27. Tooth #46 is missing, and in its place, there is a retained root tip or a severely broken-down root fragment embedded in the alveolar bone.","Deep dental caries are visible on the distal aspect of tooth #35 and the mesial aspect of tooth #37. Tooth #46 is severely compromised, presenting as a retained root tip with complete loss of the clinical crown due to extensive decay.",0.0,0.0
31,"Which teeth have signs of fillings, and which have undergone root canal treatment?","Teeth #16, #17, #35, and #37 have signs of fillings. Teeth #35, #38, #45 and #46 have undergone root canal treatment.","Radiopaque restorations (fillings) are visible on teeth #16, #26, #35, and #45. Root canal treatment (endodontic obturation) is noted in tooth #34, which shows a radiopaque filling material extending down the root canal, and tooth #44 also shows signs of previous endodontic therapy.","Radiopaque restorations (fillings) are visible on teeth #14, #15, #24, #25, and #45. Root canal treatments (endodontic obturations) are present in teeth #35 and #44, characterized by radiopaque filling material within the root canals.",0.2,0.0
44,Which tooth shows imaging features of a periapical abscess?,#41.,"Tooth #46 shows imaging features of a periapical abscess, characterized by a well-defined radiolucency surrounding the root apices.","Tooth #11 (upper-right central incisor) shows a distinct periapical radiolucency at its root apex, highly suggestive of a periapical abscess/periodontitis.",0.0,0.0
48,Which teeth show signs of fillings?,Tooth #26 show signs of fillings.,"Signs of dental restorations/fillings are visible on teeth #17, #26, #27, #36 (which has a full-coverage crown), and #47.","Radiopaque restorations indicative of dental fillings are visible on multiple teeth, including the upper-left first molar (#26), upper-left second molar (#27), lower-right second molar (#47), and lower-right first molar (#46).",0.2,0.6
59,Which teeth show signs of fillings?,"#16, #26, #36, and #46 show signs of fillings.","Radiopaque restorations (fillings) are visible on teeth #14 (upper right first premolar), #25 (upper left second premolar), #45 (lower right second premolar), and #35 (lower left second premolar).","Radiopaque restorations (fillings) are visible on teeth #15 (upper-right second premolar), #25 (upper-left second premolar), #35 (lower-left second premolar), and #45 (lower-right second premolar).",0.0,0.0
90,Which teeth have fillings and require clinical review?,#17 has a filling.,"Radiopaque restorations (fillings) are visible on the proximal surfaces of several teeth, most notably on the upper right first molar (#16) and upper right second premolar (#15). These areas, along with the margins of the crowned central incisors (#11 and #21) and the distal aspect of the lower right second molar (#47) adjacent to the impacted #48, require close clinical and radiographic review to rule out recurrent caries or periodontal pocketing.","Radiopaque restorations (fillings) are visible on several teeth, including the distal/occlusal surfaces of #16, #15, and #14, as well as a restoration on #35. These areas, along with the margins of the crowned teeth, require clinical and tactile review to rule out recurrent caries.",0.0,0.0
92,Which teeth have crown restorations?,#11 and #21 have crown restorations.,"Crown restorations (highly radiopaque, full-coverage restorations) are present on the upper right central incisor (#11) and the upper left central incisor (#21).","Crown restorations (highly radiopaque, full-coverage crowns) are present on the maxillary central incisors, teeth #11 and #21.",1.0,1.0
97,Which tooth is identified as a wisdom tooth?,#28 is identified as the wisdom tooth.,"The wisdom teeth (third molars) visible are tooth #28 (upper left third molar, which is erupted/partially erupted and mesially angled) and tooth #38 (lower left third molar, which is partially erupted/impacted and mesioangularly inclined). Tooth #48 is missing.","The wisdom teeth (third molars) identified as present in the dentition are tooth #28 (upper-left third molar), tooth #38 (lower-left third molar), and tooth #48 (lower-right third molar). Tooth #18 is missing.",0.7,0.7
101,Which teeth are suspicious for caries?,"#36 and #47 are suspicious for deep caries, while #45 and #46 are suspicious for caries (low confidence for #45).","Teeth suspicious for caries include tooth #12 (distal/mesial radiolucency), tooth #23 (mesial radiolucency), and tooth #27 (distal/occlusal radiolucency).","There are radiolucencies suspicious for dental caries on the proximal surfaces of several teeth, most notably on the distal aspect of #11, the mesial aspect of #23, and the distal aspect of #14.",0.0,0.0
112,Which tooth is suspicious for root canal treatment?,#35 is suspicious for root canal treatment.,"Tooth #46 (lower right first molar) is highly suspicious for requiring or having undergone root canal treatment, as it exhibits a deep restoration/caries extending close to the pulp chamber, along with widening of the periodontal ligament space at the root apices. Additionally, tooth #35 (lower left second premolar) shows a deep restoration and is in close proximity to a prominent radiolucency, making it another candidate for endodontic evaluation.","Tooth #46 is highly suspicious for root canal treatment, as it exhibits a radiopaque material filling the pulp chamber and root canals, consistent with endodontic obturation.",0.9,0.0
120,Which teeth are suspected of having caries and require clinical re-evaluation?,#25.,"Teeth suspected of having dental caries requiring clinical and bitewing radiographic re-evaluation include #15 (distal aspect), #24 (distal aspect), #25 (mesial and distal aspects), #26 (mesial aspect), #35 (distal aspect), and #37 (mesial aspect).","Teeth suspected of having caries that require clinical re-evaluation include #17 (distal surface), #27 (mesial/distal surfaces), and #37 (mesial surface).",0.2,0.0
140,Which teeth are suspected to be erupted?,"#18, #28, #38, #48 are suspected to be erupted.","All permanent teeth appear to be erupted, including the third molars (#18, #28, #38, and #48), which are present in the dental arches.","All 32 permanent teeth are erupted and visible in the dental arches, including all four third molars (#18, #28, #38, and #48).",0.9,0.9
150,Which tooth needs endodontic evaluation?,Tooth #11 requires endodontic evaluation due to the periapical lesion.,"Tooth #16 requires endodontic evaluation due to a prominent periapical radiolucency at its root apex, indicating chronic apical periodontitis or a periapical lesion.","Tooth #16 requires endodontic evaluation due to a prominent periapical radiolucency at its root apex, indicating pulpal necrosis and chronic apical periodontitis.",0.0,0.0
152,Which tooth has evidence of a periapical granuloma?,Tooth #11 shows evidence of a periapical granuloma.,"Tooth #16 shows evidence of a periapical granuloma, presenting as a well-defined, round radiolucency surrounding the apex of its roots.","Tooth #16 shows evidence of a periapical granuloma (or radicular cyst), presenting as a well-defined, round radiolucency surrounding the root apex.",0.0,0.0
158,Which tooth has a periapical lesion?,Tooth #45 has a periapical lesion (likely abscess).,"Tooth #45 has a prominent, well-defined periapical radiolucent lesion at its root apex.","There is no distinct, well-defined periapical radiolucency indicative of an active periapical lesion or apical periodontitis visible on any of the teeth in this radiograph. The periapical regions of the remaining dentition appear stable, though clinical vitality testing is recommended for confirmation.",0.9,0.0
182,Which teeth have crown restorations?,"Teeth #12,13,14,17,21,22,23,24,31,32,33,34,41,42,43,44,46 have crowns.","Crown restorations (including single crowns and bridge retainers/pontics) are present on teeth #15 (implant-supported crown), #12, #11, #21, #22, #23, #24, #27, #28, #45 (implant-supported crown), #43, #42, #41, #31, #32, and #33.","Crown restorations are present on teeth #16 (implant-supported crown), #12, #11, #21, #22, #23, #24, #25, #28, #46 (implant-supported crown), #44, #43, #42, #41, #31, #32, #33, #34, and #35. Additionally, there is a fixed partial denture (bridge) spanning the mandibular anterior region.",0.6,0.6
192,Which teeth show signs of fillings?,"Teeth #17, #21, #26, #46, #22, #38, #48 show signs of fillings.","Signs of dental restorations (fillings) are visible on teeth #17, #16, #15, #14, #21 (which also has a root canal filling), #24, #25, #26, #37, #35, #34, #44, #45, and #47.","Radiopaque restorations (fillings) are visible on teeth #16, #15, #14, #24, #25, #26, #36, #37, and #45. Additionally, tooth #23 has undergone endodontic treatment, showing a radiopaque root canal filling.",0.2,0.0
