index,file_name,category,question,answer,predicted,raw_response,correct,refused,n_examples
1,016640.jpg,Teeth,How many natural teeth are visualized in the panoramic radiograph?,D,D,D,True,False,0
4,016640.jpg,Jaw,Which of the following is TRUE regarding the jaw-specific observations?,B,B,B,True,False,0
5,016641.jpg,"Teeth,Patho",What is required for the periapical lesion at tooth 36?,C,C,C,True,False,0
6,016641.jpg,"HisT,Jaw",Which structures are visible in the image?,A,A,A,True,False,0
7,016641.jpg,"Teeth,Patho",Which tooth exhibits imaging features suggestive of a periapical granuloma?,D,B,B,False,False,0
8,016641.jpg,"Teeth,HisT,SumRec",Which tooth is obvious for a filling?,B,A,A,False,False,0
10,016642.jpg,"Teeth,HisT",Which tooth has a crown restoration?,B,B,B,True,False,0
12,016642.jpg,Teeth,How many teeth are visualized in the radiograph?,B,B,B,True,False,0
14,016648.jpg,Teeth,How many wisdom teeth are erupted in the patient?,C,C,C,True,False,0
15,016648.jpg,"Teeth,Jaw",What is the status of bone loss in the image?,A,A,A,True,False,0
20,016649.jpg,"Teeth,Patho",Which tooth has a suspected deep caries?,D,B,B,False,False,0
21,016649.jpg,"Teeth,Patho",Which tooth shows signs of a periapical granuloma?,D,C,C,False,False,0
22,016649.jpg,"Teeth,HisT",Which tooth has a crown restoration?,B,B,B,True,False,0
26,016650.jpg,"Teeth,Patho",Which teeth are suspected to have deep caries?,D,D,D,True,False,0
37,016655.jpg,"Patho,Jaw",Which of the following is NOT a finding related to the maxillary sinuses?,A,B,B,False,False,0
45,016659.jpg,Teeth,Which region has a missing tooth?,C,C,C,True,False,0
49,016690.jpg,"Teeth,HisT",Which tooth has both a filling and root canal treatment?,A,A,A,True,False,0
51,016690.jpg,Jaw,Which structure is well-defined bilaterally in the maxilla?,D,D,D,True,False,0
52,016693.jpg,"Teeth,HisT",Which teeth have crown restorations?,C,C,C,True,False,0
54,016693.jpg,"Teeth,Patho",Which tooth shows signs of a periapical abscess?,D,D,D,True,False,0
55,016693.jpg,"Teeth,Patho,SumRec",Which tooth requires monitoring for suspicious caries?,A,D,D,False,False,0
56,016693.jpg,"Teeth,Jaw",In which jaw is the missing tooth region detected?,C,B,B,False,False,0
59,016694.jpg,Teeth,How many teeth are visualized in the radiograph?,D,C,"To determine the total number of teeth visualized in the radiograph, let us systematically count the natural teeth present in each quadrant (excluding the dental implant in the upper right quadrant):

1. **Upper Right Quadrant (Patient's Right / Image Left):**
   - Tooth #17 (second molar) - present (crowned)
   - Tooth #16 (first molar) - present (crowned)
   - Tooth #15 (second premolar) - present (heavily restored/root remnant)
   - *Note: There is a dental implant in the position of #13/14, which is counted separately from natural teeth.*
   - Total in upper right = 3 teeth

2. **Upper Left Quadrant (Patient's Left / Image Right):**
   - Tooth #24 (first premolar) - present (with post/core and crown)
   - Tooth #25 (second premolar) - present (crowned)
   - Tooth #26 (first molar) - present (crowned)
   - Tooth #27 (second molar) - present (crowned, with post/core)
   - Total in upper left = 4 teeth

3. **Lower Left Quadrant (Patient's Left / Image Right):**
   - Tooth #31 (central incisor) - present
   - Tooth #32 (lateral incisor) - present
   - Tooth #33 (canine) - present
   - Tooth #34 (first premolar) - present (crowned/bridge retainer)
   - Tooth #35 (second premolar) - present (crowned/bridge retainer)
   - Tooth #37 (second molar) - present (crowned)
   - Total in lower left = 6 teeth

4. **Lower Right Quadrant (Patient's Right / Image Left):**
   - Tooth #41 (central incisor) - present
   - Tooth #42 (lateral incisor) - present
   - Tooth #43 (canine) - present
   - Tooth #44 (first premolar) - present
   - Tooth #45 (second premolar) - present (crowned)
   - Tooth #47 (second molar) - present
   - Tooth #48 (third molar) - present (impacted/semi-impacted)
   - Total in lower right = 7 teeth

Adding these together: 3 (upper right) + 4 (upper left) + 6 (lower left) + 7 (lower right) = 20 teeth.

C",False,False,0
60,016694.jpg,"Teeth,Patho",Which tooth has a periapical lesion?,C,B,B,False,False,0
63,016708.jpg,"Teeth,HisT",Which tooth is described as having an implant restoration?,C,B,B,False,False,0
64,016708.jpg,"Teeth,Patho",Which tooth is suspected to have a periapical granuloma?,C,D,D,False,False,0
65,016708.jpg,"Patho,Jaw",Which of the following is a finding in the maxillary sinuses?,C,C,C,True,False,0
68,016712.jpg,SumRec,Which of the following is a preventive measure recommended in the report?,B,B,B,True,False,0
71,016712.jpg,"Teeth,HisT",Which of the following teeth has a crown restoration with underlying root canal treatment?,D,D,D,True,False,0
74,016713.jpg,Teeth,Which of the following wisdom teeth is suspicious for impaction?,A,A,A,True,False,0
75,016713.jpg,"Teeth,HisT",Which tooth has a crown restoration?,D,D,D,True,False,0
76,016713.jpg,Teeth,How many teeth are visualized in the radiograph?,C,C,C,True,False,0
78,016723.jpg,"Teeth,HisT",Which tooth shows signs of root canal treatment?,B,D,D,False,False,0
81,016723.jpg,Jaw,What is observed in the maxillary sinuses?,C,C,C,True,False,0
89,016744.jpg,Jaw,In which jaw is there evidence of bone loss?,A,A,A,True,False,0
90,016744.jpg,Teeth,How many teeth were visualized in the panoramic radiograph?,D,D,D,True,False,0
93,016769.jpg,Teeth,Which of the following teeth is identified as a wisdom tooth?,B,C,C,False,False,0
96,016783.jpg,Teeth,How many teeth are visualized in the panoramic radiograph?,C,D,D,False,False,0
100,016783.jpg,Patho,How many teeth show periapical lesions in this panoramic X-ray?,B,A,A,False,False,0
102,016790.jpg,"Teeth,Patho",Which of the following is a tooth with suspicious caries?,B,B,B,True,False,0
