index,score
0,1.0
1,0.3
2,0.7
3,0.0
4,0.7
5,0.7
6,0.3
7,0.2
8,0.0
9,0.0
10,0.6
11,0.6
12,0.3
13,0.7
14,0.0
15,0.6
16,0.6
17,0.0
18,0.0
19,0.0
20,0.9
21,0.0
22,0.2
23,0.0
24,0.0
25,0.6
26,0.6
27,0.6
28,0.6
29,0.9
30,0.7
31,0.6
32,0.6
33,0.7
34,0.7
35,0.0
36,0.6
37,0.9
38,0.9
39,0.6
40,0.6
41,0.6
42,0.3
43,0.9
44,0.0
45,0.0
46,0.6
47,0.6
48,0.0
49,0.7
50,0.6
51,0.0
52,0.3
53,0.9
54,0.6
55,0.7
56,0.7
57,0.3
58,0.6
59,0.7
60,0.0
61,0.6
62,0.9
63,0.7
64,0.3
65,0.3
66,0.0
67,0.6
68,0.0
69,0.9
70,0.6
71,0.0
72,0.6
73,0.3
74,0.0
75,0.2
76,0.3
77,0.3
78,0.3
79,0.0
80,1.0
81,0.0
82,0.9
83,0.0
84,0.6
85,0.9
86,0.6
87,1.0
88,0.9
89,0.7
90,0.0
91,1.0
92,0.9
93,0.7
94,0.6
95,0.0
96,0.9
97,0.3
98,0.0
99,0.6
100,0.3
101,0.3
102,0.0
103,0.7
104,0.3
105,0.9
106,0.0
107,0.5
108,0.6
109,0.0
110,0.0
111,0.6
112,0.2
113,0.3
114,0.0
115,0.0
116,0.6
117,0.2
118,0.7
119,0.7
120,0.3
121,0.7
122,0.7
123,0.3
124,0.0
125,0.6
126,0.6
127,0.0
128,0.0
129,0.2
130,0.6
131,0.6
132,0.9
133,0.3
134,0.0
135,0.6
136,0.9
137,0.6
138,0.6
139,0.6
140,0.9
141,0.0
142,0.6
143,0.3
144,0.9
145,0.9
146,0.9
147,0.9
148,0.6
149,0.6
150,0.0
151,0.6
152,0.0
153,0.4
154,0.3
155,0.7
156,0.6
157,0.6
158,0.9
159,0.7
160,0.6
161,0.9
162,0.0
163,0.3
164,0.6
165,0.2
166,0.7
167,0.3
168,0.0
169,0.9
170,0.0
171,0.0
172,0.7
173,0.7
