image,detector_count,ref_count,diff
016640.jpg,31,31,0
016641.jpg,30,31,-1
016642.jpg,29,32,-3
016648.jpg,31,32,-1
016649.jpg,27,26,1
016650.jpg,31,32,-1
016652.jpg,32,32,0
016655.jpg,32,32,0
016657.jpg,32,32,0
016659.jpg,27,31,-4
016690.jpg,33,32,1
016693.jpg,32,31,1
016694.jpg,16,21,-5
016708.jpg,24,22,2
016712.jpg,30,30,0
016713.jpg,32,31,1
016723.jpg,29,29,0
016726.jpg,31,30,1
016744.jpg,29,29,0
016769.jpg,27,28,-1
016783.jpg,28,,
016790.jpg,32,31,1
016792.jpg,28,28,0
016807.jpg,27,29,-2
016808.jpg,32,32,0
016821.jpg,23,26,-3
016823.jpg,25,26,-1
016825.jpg,28,29,-1
016826.jpg,30,30,0
016829.jpg,27,27,0
016836.jpg,32,32,0
016839.jpg,23,29,-6
016855.jpg,28,26,2
016874.jpg,30,30,0
016910.jpg,23,23,0
016918.jpg,30,31,-1
016920.jpg,31,31,0
016947.jpg,31,31,0
016955.jpg,29,29,0
016961.jpg,32,32,0
016964.jpg,31,30,1
016973.jpg,29,28,1
016975.jpg,32,32,0
017018.jpg,31,31,0
017022.jpg,32,32,0
017061.jpg,32,32,0
017083.jpg,29,29,0
017091.jpg,32,31,1
017112.jpg,31,32,-1
017113.jpg,27,28,-1
017118.jpg,29,,
017137.jpg,30,31,-1
017144.jpg,11,12,-1
017148.jpg,30,30,0
017168.jpg,14,25,-11
017202.jpg,27,,
017204.jpg,30,,
017209.jpg,29,,
017215.jpg,32,32,0
017220.jpg,26,,
017239.jpg,28,,
017271.jpg,28,,
017300.jpg,31,,
017309.jpg,30,29,1
017336.jpg,8,11,-3
017346.jpg,31,31,0
017360.jpg,32,32,0
017375.jpg,29,30,-1
017416.jpg,10,12,-2
017540.jpg,31,,
017656.jpg,30,,
017690.jpg,26,,
017693.jpg,30,31,-1
017773.jpg,32,32,0
017840.jpg,30,30,0
017880.jpg,32,32,0
017936.jpg,33,32,1
018010.jpg,29,31,-2
018047.jpg,32,32,0
018105.jpg,32,32,0
018160.jpg,29,,
018174.jpg,30,30,0
018179.jpg,29,29,0
018189.jpg,31,31,0
018211.jpg,32,32,0
018231.jpg,32,32,0
018254.jpg,33,32,1
018263.jpg,30,30,0
018276.jpg,32,32,0
018277.jpg,32,32,0
018278.jpg,32,32,0
018325.jpg,32,32,0
018328.jpg,28,29,-1
018377.jpg,29,30,-1
018384.jpg,29,30,-1
018466.jpg,26,,
018477.jpg,31,32,-1
018494.jpg,32,32,0
018539.jpg,31,32,-1
019277.jpg,32,32,0
